pvog	annotation_processed	annotation_raw
VOG0001	V	V protein
VOG0002	VIII	major coat protein
VOG0005	IV	phage assembly protein
VOG0006	Vpf491	Vpf491
VOG0007	minor coat	putative minor coat protein
VOG0008	unknown	hypothetical protein
VOG0009	unknown	putative transcription regulator
VOG0010	unknown	hypothetical protein
VOG0011	unknown	unknown
VOG0012	unknown	hypothetical protein
VOG0013	DNA replication initiation	DNA replication initiation protein
VOG0014	unknown	hypothetical protein
VOG0015	major coat  precursor	putative major coat protein precursor
VOG0016	S-adenosyl-L-methionine hydrolase	S-adenosyl-L-methionine hydrolase
VOG0017	unknown	hypothetical protein
VOG0018	DNA ligase	DNA ligase
VOG0019	RNA polymerase	RNA polymerase
VOG0020	unknown	hypothetical protein
VOG0021	unknown	hypothetical protein
VOG0024	unknown	hypothetical protein
VOG0025	DNA helicase	putative DNA helicase
VOG0026	DNA polymerase	DNA polymerase
VOG0028	exonuclease	exonuclease
VOG0029	unknown	hypothetical protein
VOG0030	head-tail connector	head-tail connector protein
VOG0031	scaffolding	capsid assembly protein
VOG0034	tail tubular  B	tail tubular protein B
VOG0035	internal virion  A	internal virion protein A
VOG0037	internal virion  C	internal virion protein C
VOG0038	internal virion  D	internal virion protein D
VOG0040	holin	type II holin
VOG0041	unknown	hypothetical protein
VOG0043	unknown	hypothetical protein
VOG0044	unknown	hypothetical protein
VOG0045	unknown	hypothetical protein
VOG0046	superinfection exclusion	superinfection exclusion protein
VOG0047	unknown	hypothetical protein
VOG0048	unknown	hypothetical protein
VOG0049	RtcB	hypothetical protein
VOG0050	dCMP deaminase	dCMP deaminase
VOG0051	terminase large subunit	terminase large subunit
VOG0052	RNA polymerase sigma factor	RNA polymerase sigma factor
VOG0054	holin	holin
VOG0058	P-starvation inducible	P-starvation inducible protein
VOG0061	major capsid	major capsid protein
VOG0064	unknown	hypothetical protein
VOG0065	unknown	hypothetical protein
VOG0066	unknown	hypothetical protein
VOG0067	tail sheath	tail sheath protein
VOG0068	unknown	hypothetical protein
VOG0069	unknown	hypothetical protein
VOG0079	unknown	hypothetical protein
VOG0080	unknown	hypothetical protein
VOG0083	recombination endonuclease subunit	recombination endonuclease subunit
VOG0085	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase
VOG0086	unknown	hypothetical protein
VOG0088	ribonucleotide reductase	ribonucleotide reductase
VOG0090	unknown	hypothetical protein
VOG0092	thymidylate synthase	thymidylate synthase
VOG0094	DNA-binding	hypothetical protein
VOG0095	unknown	hypothetical protein
VOG0098	unknown	hypothetical protein
VOG0100	unknown	hypothetical protein
VOG0101	unknown	hypothetical protein
VOG0102	unknown	hypothetical protein
VOG0103	unknown	hypothetical protein
VOG0104	unknown	hypothetical protein
VOG0105	unknown	hypothetical protein
VOG0106	terminase large subunit	terminase large subunit
VOG0107	unknown	hypothetical protein
VOG0108	unknown	hypothetical protein
VOG0109	unknown	hypothetical protein
VOG0113	unknown	hypothetical protein
VOG0114	unknown	hypothetical protein
VOG0115	unknown	hypothetical protein
VOG0116	unknown	hypothetical protein
VOG0117	unknown	hypothetical protein
VOG0118	unknown	hypothetical protein
VOG0122	unknown	hypothetical protein
VOG0125	unknown	hypothetical protein
VOG0126	unknown	hypothetical protein
VOG0127	unknown	hypothetical protein
VOG0128	unknown	hypothetical protein
VOG0129	unknown	hypothetical protein
VOG0131	unknown	hypothetical protein
VOG0133	unknown	hypothetical protein
VOG0134	unknown	hypothetical protein
VOG0136	holin	holin
VOG0139	unknown	hypothetical protein
VOG0141	unknown	hypothetical protein
VOG0142	unknown	hypothetical protein
VOG0143	unknown	hypothetical protein
VOG0144	unknown	hypothetical protein
VOG0145	unknown	hypothetical protein
VOG0149	unknown	hypothetical protein
VOG0151	unknown	hypothetical protein
VOG0152	unknown	hypothetical protein
VOG0154	unknown	hypothetical protein
VOG0156	serine/threonine  phosphatase	serine/threonine protein phosphatase
VOG0157	phosphoesterase	hypothetical protein
VOG0158	unknown	hypothetical protein
VOG0159	unknown	hypothetical protein
VOG0162	unknown	hypothetical protein
VOG0163	unknown	hypothetical protein
VOG0166	maturation	maturation protein
VOG0167	replicase	replicase
VOG0168	gpA	gpA
VOG0169	gpA*	gpA*
VOG0170	gpB	gpB
VOG0171	gpK	gpK
VOG0172	gpC	gpC
VOG0173	gpD	gpD
VOG0174	gpE	gpE
VOG0175	gpJ	gpJ
VOG0176	gpF	gpF
VOG0177	gpG	gpG
VOG0178	gpH	gpH
VOG0179	unknown	hypothetical protein
VOG0181	unknown	hypothetical protein
VOG0182	unknown	hypothetical protein
VOG0183	transcription regulator	putative transcription regulator
VOG0186	unknown	hypothetical protein
VOG0189	DNA replication	DNA replication protein
VOG0190	unknown	hypothetical protein
VOG0192	unknown	unknown
VOG0193	unknown	unknown
VOG0194	unknown	hypothetical protein
VOG0195	unknown	hypothetical protein
VOG0196	unknown	hypothetical protein
VOG0197	unknown	hypothetical protein
VOG0198	unknown	hypothetical protein
VOG0202	head-tail joining	putative head-tail joining protein
VOG0204	unknown	hypothetical protein
VOG0205	head-tail joining	putative head-tail joining protein
VOG0207	unknown	hypothetical protein
VOG0209	tail component	putative tail component
VOG0217	unknown	unknown
VOG0221	integrase	integrase
VOG0223	Lxc	Lxc
VOG0226	unknown	hypothetical protein
VOG0227	tail fiber assembly	tail fiber assembly protein
VOG0233	hypothetical bacteriophage	hypothetical bacteriophage protein
VOG0234	ParB	ParB
VOG0236	Upf62.1	Upf62.1
VOG0237	LysC	LysC
VOG0238	unknown	hypothetical protein
VOG0239	unknown	hypothetical protein
VOG0242	unknown	hypothetical protein
VOG0243	unknown	hypothetical protein
VOG0244	unknown	hypothetical protein
VOG0245	unknown	hypothetical protein
VOG0248	unknown	hypothetical protein
VOG0249	Doc	Doc
VOG0251	unknown	hypothetical protein
VOG0253	terminase small subunit	terminase small subunit
VOG0254	portal	portal protein
VOG0258	DNA stabilization	DNA stabilization protein
VOG0259	DNA stabilization	DNA stabilization protein
VOG0260	unknown	hypothetical protein
VOG0261	head assembly	head assembly protein
VOG0263	DNA transfer	DNA transfer protein
VOG0264	unknown	hypothetical protein
VOG0265	DNA transfer	DNA transfer protein
VOG0267	unknown	hypothetical protein
VOG0273	GtrC	GtrC
VOG0274	GtrB	GtrB
VOG0275	integrase	integrase
VOG0278	unknown	hypothetical protein
VOG0280	unknown	hypothetical protein
VOG0281	Abc2	Abc2 protein
VOG0283	unknown	hypothetical protein
VOG0284	Arf	Arf
VOG0285	Kil	Kil
VOG0286	CIII	CIII protein
VOG0287	superinfection exclusion  B	superinfection exclusion protein B
VOG0288	antitermination  N	antitermination protein N
VOG0291	NinA	hypothetical protein
VOG0292	NinB	NinB protein
VOG0293	NinE	NinE protein
VOG0294	unknown	hypothetical protein
VOG0295	NinF	NinF protein
VOG0296	NinG	NinG protein
VOG0297	unknown	hypothetical protein
VOG0298	late gene regulator Q	late gene regulator Q
VOG0299	endopeptidase	hypothetical protein
VOG0300	Rz1	Rz1 protein
VOG0302	unknown	hypothetical protein
VOG0303	unknown	hypothetical protein
VOG0311	unknown	hypothetical protein
VOG0312	Gp18	Gp18 protein
VOG0315	unknown	hypothetical protein
VOG0316	unknown	hypothetical protein
VOG0319	unknown	hypothetical protein
VOG0320	Gp45	Gp45 protein
VOG0321	unknown	hypothetical protein
VOG0322	unknown	hypothetical protein
VOG0327	unknown	hypothetical protein
VOG0329	unknown	hypothetical protein
VOG0334	DNA polymerase	DNA polymerase
VOG0335	unknown	hypothetical protein
VOG0336	unknown	hypothetical protein
VOG0337	DNA packaging ATPase	DNA packaging ATPase
VOG0338	unknown	hypothetical protein
VOG0339	unknown	hypothetical protein
VOG0340	unknown	hypothetical protein
VOG0341	unknown	hypothetical protein
VOG0342	unknown	hypothetical protein
VOG0344	unknown	hypothetical protein
VOG0345	unknown	hypothetical protein
VOG0346	unknown	hypothetical protein
VOG0347	unknown	hypothetical protein
VOG0348	unknown	hypothetical protein
VOG0350	nicotinamide phosphoribosyl transferase	nicotinamide phosphoribosyltransferase
VOG0351	prohead core scaffolding  and protease	prohead core scaffolding protein and protease
VOG0352	unknown	hypothetical protein
VOG0354	RNA polymerase beta subunit	putative RNA polymerase beta subunit
VOG0355	replication  P	replication protein P
VOG0356	tail sheath	tail sheath protein
VOG0362	unknown	hypothetical protein
VOG0364	virion structural	hypothetical protein
VOG0367	unknown	hypothetical protein
VOG0368	unknown	hypothetical protein
VOG0369	unknown	hypothetical protein
VOG0370	unknown	hypothetical protein
VOG0371	unknown	hypothetical protein
VOG0372	DNA ligase	NAD-dependent DNA ligase, subunit A
VOG0373	unknown	hypothetical protein
VOG0374	unknown	hypothetical protein
VOG0375	unknown	hypothetical protein
VOG0376	unknown	hypothetical protein
VOG0377	DNA helicase	DNA helicase
VOG0382	DNA topoisomerase II large subunit	DNA topoisomerase II large subunit
VOG0384	DNA topisomerase II medium subunit	DNA topisomerase II medium subunit
VOG0388	unknown	hypothetical protein
VOG0389	unknown	hypothetical protein
VOG0390	unknown	hypothetical protein
VOG0393	ADP-ribosylase	ADP-ribosylase
VOG0394	unknown	hypothetical protein
VOG0395	unknown	hypothetical protein
VOG0396	unknown	hypothetical protein
VOG0397	dUTPase	dUTPase
VOG0398	unknown	hypothetical protein
VOG0400	spackle periplasmic	spackle periplasmic protein
VOG0401	unknown	hypothetical protein
VOG0402	head vertex assembly chaperone	head vertex assembly chaperone
VOG0403	unknown	hypothetical protein
VOG0404	unknown	hypothetical protein
VOG0405	unknown	hypothetical protein
VOG0407	unknown	hypothetical protein
VOG0408	clamp loader subunit	clamp loader subunit
VOG0409	sliding clamp DNA polymerase accessory	sliding clamp DNA polymerase accessory protein
VOG0410	RNA polymerase binding	RNA polymerase binding protein
VOG0411	unknown	hypothetical protein
VOG0412	alpha-glucosyl-transferase	alpha-glucosyl-transferase
VOG0413	unknown	hypothetical protein
VOG0414	unknown	hypothetical protein
VOG0415	unknown	hypothetical protein
VOG0416	unknown	hypothetical protein
VOG0417	unknown	hypothetical protein
VOG0418	unknown	hypothetical protein
VOG0419	anaerobic NTP reductase small subunit	anaerobic NTP reductase small subunit
VOG0420	anaerobic NTP reductase large subunit	anaerobic NTP reductase large subunit
VOG0421	inhibitor of host Lon protease	inhibitor of host Lon protease
VOG0422	unknown	hypothetical protein
VOG0424	unknown	hypothetical protein
VOG0425	unknown	hypothetical protein
VOG0426	unknown	hypothetical protein
VOG0427	unknown	hypothetical protein
VOG0428	unknown	hypothetical protein
VOG0429	unknown	hypothetical protein
VOG0433	unknown	hypothetical protein
VOG0434	unknown	hypothetical protein
VOG0435	unknown	hypothetical protein
VOG0436	site-specific RNA endonuclease	site-specific RNA endonuclease
VOG0437	unknown	hypothetical protein
VOG0438	unknown	hypothetical protein
VOG0439	unknown	hypothetical protein
VOG0440	unknown	hypothetical protein
VOG0441	unknown	hypothetical protein
VOG0443	nudix hydrolase	nudix hydrolase
VOG0444	unknown	hypothetical protein
VOG0445	unknown	hypothetical protein
VOG0447	unknown	hypothetical protein
VOG0448	unknown	hypothetical protein
VOG0449	unknown	hypothetical protein
VOG0450	unknown	hypothetical protein
VOG0451	head completion	head completion protein
VOG0452	baseplate wedge subunit	baseplate wedge subunit
VOG0454	baseplate wedge subunit	baseplate wedge subunit
