Protein	Beg	End	Reference
eld241-t0_s_1_1	981	790	eld241-t0_s_1
eld241-t0_s_1_2	1707	1591	eld241-t0_s_1
eld241-t0_s_1_3	1908	1807	eld241-t0_s_1
eld241-t0_s_1_4	2829	2569	eld241-t0_s_1
eld241-t0_s_1_5	3069	2896	eld241-t0_s_1
eld241-t0_s_1_6	3552	3367	eld241-t0_s_1
eld241-t0_s_1_7	4836	4456	eld241-t0_s_1
eld241-t0_s_1_8	6588	6370	eld241-t0_s_1
eld241-t0_s_1_9	7608	7246	eld241-t0_s_1
eld241-t0_s_1_10	7992	7810	eld241-t0_s_1
eld241-t0_s_1_11	8556	8158	eld241-t0_s_1
eld241-t0_s_1_12	8991	8812	eld241-t0_s_1
eld241-t0_s_1_13	9315	9028	eld241-t0_s_1
eld241-t0_s_1_14	9579	9319	eld241-t0_s_1
eld241-t0_s_1_15	10911	10732	eld241-t0_s_1
eld241-t0_s_1_16	11481	11173	eld241-t0_s_1
eld241-t0_s_1_17	11826	11551	eld241-t0_s_1
eld241-t0_s_1_18	12837	12700	eld241-t0_s_1
eld241-t0_s_1_19	13461	13264	eld241-t0_s_1
eld241-t0_s_1_20	13812	13483	eld241-t0_s_1
eld241-t0_s_1_21	14841	14584	eld241-t0_s_1
eld241-t0_s_1_22	15363	15163	eld241-t0_s_1
eld241-t0_s_1_23	15627	15445	eld241-t0_s_1
eld241-t0_s_1_24	16116	16015	eld241-t0_s_1
eld241-t0_s_1_25	16656	16429	eld241-t0_s_1
eld241-t0_s_1_26	17292	16837	eld241-t0_s_1
eld241-t0_s_1_27	17604	17473	eld241-t0_s_1
eld241-t0_s_1_28	18096	17929	eld241-t0_s_1
eld241-t0_s_1_29	18357	18229	eld241-t0_s_1
eld241-t0_s_1_30	18726	18394	eld241-t0_s_1
eld241-t0_s_1_31	19202	18732	eld241-t0_s_1
eld241-t0_s_1_32	19515	19934	eld241-t0_s_1
eld241-t0_s_1_33	20150	19989	eld241-t0_s_1
eld241-t0_s_1_34	21289	21038	eld241-t0_s_1
eld241-t0_s_1_35	21541	21383	eld241-t0_s_1
eld241-t0_s_1_36	22466	22284	eld241-t0_s_1
eld241-t0_s_1_37	23971	23822	eld241-t0_s_1
eld241-t0_s_1_38	24229	23981	eld241-t0_s_1
eld241-t0_s_1_39	24678	24553	eld241-t0_s_1
eld241-t0_s_1_40	25366	25145	eld241-t0_s_1
eld241-t0_s_1_41	25912	25607	eld241-t0_s_1
eld241-t0_s_1_42	26725	26219	eld241-t0_s_1
eld241-t0_s_1_43	27085	26942	eld241-t0_s_1
eld241-t0_s_1_44	28016	27855	eld241-t0_s_1
eld241-t0_s_1_45	28427	28287	eld241-t0_s_1
eld241-t0_s_1_46	28568	28434	eld241-t0_s_1
eld241-t0_s_1_47	28872	28639	eld241-t0_s_1
eld241-t0_s_1_48	28993	28847	eld241-t0_s_1
eld241-t0_s_1_49	29233	29093	eld241-t0_s_1
eld241-t0_s_1_50	30864	30538	eld241-t0_s_1
eld241-t0_s_1_51	31304	30945	eld241-t0_s_1
eld241-t0_s_1_52	31712	31455	eld241-t0_s_1
eld241-t0_s_1_53	31800	32162	eld241-t0_s_1
eld241-t0_s_1_54	32702	32103	eld241-t0_s_1
eld241-t0_s_1_55	33155	33036	eld241-t0_s_1
eld241-t0_s_1_56	34145	33834	eld241-t0_s_1
eld241-t0_s_1_57	34430	34251	eld241-t0_s_1
eld241-t0_s_1_58	35207	34869	eld241-t0_s_1
eld241-t0_s_1_59	35906	35673	eld241-t0_s_1
eld241-t0_s_1_60	36731	36534	eld241-t0_s_1
eld241-t0_s_1_61	38354	37977	eld241-t0_s_1
eld241-t0_s_1_62	38548	38351	eld241-t0_s_1
eld241-t0_s_1_63	39523	39020	eld241-t0_s_1
eld241-t0_s_1_64	40672	40376	eld241-t0_s_1
eld241-t0_s_1_65	41305	40817	eld241-t0_s_1
eld241-t0_s_1_66	41752	41495	eld241-t0_s_1
eld241-t0_s_1_67	42154	41900	eld241-t0_s_1
eld241-t0_s_1_68	42520	42212	eld241-t0_s_1
eld241-t0_s_1_69	42930	42628	eld241-t0_s_1
eld241-t0_s_1_70	44219	43575	eld241-t0_s_1
eld241-t0_s_1_71	44642	44406	eld241-t0_s_1
eld241-t0_s_1_72	45025	44720	eld241-t0_s_1
eld241-t0_s_1_73	45181	45035	eld241-t0_s_1
eld241-t0_s_1_74	45415	45311	eld241-t0_s_1
eld241-t0_s_1_75	46017	45679	eld241-t0_s_1
eld241-t0_s_1_76	46679	46446	eld241-t0_s_1
eld241-t0_s_1_77	46886	46683	eld241-t0_s_1
eld241-t0_s_1_78	47390	46980	eld241-t0_s_1
eld241-t0_s_1_79	47654	47394	eld241-t0_s_1
eld241-t0_s_1_80	49269	47734	eld241-t0_s_1
eld241-t0_s_1_81	49692	49288	eld241-t0_s_1
eld241-t0_s_1_82	50484	50176	eld241-t0_s_1
eld241-t0_s_1_83	51084	50935	eld241-t0_s_1
eld241-t0_s_1_84	52230	51889	eld241-t0_s_1
eld241-t0_s_1_85	52788	53237	eld241-t0_s_1
eld241-t0_s_1_86	53872	53597	eld241-t0_s_1
eld241-t0_s_1_87	54322	54038	eld241-t0_s_1
eld241-t0_s_1_88	54580	54353	eld241-t0_s_1
eld241-t0_s_1_89	55444	55052	eld241-t0_s_1
eld241-t0_s_1_90	56278	56078	eld241-t0_s_1
eld241-t0_s_1_91	56776	56342	eld241-t0_s_1
eld241-t0_s_1_92	57793	57011	eld241-t0_s_1
eld241-t0_s_1_93	58401	58081	eld241-t0_s_1
eld241-t0_s_1_94	59206	58841	eld241-t0_s_1
eld241-t0_s_1_95	59581	59357	eld241-t0_s_1
eld241-t0_s_1_96	59935	59621	eld241-t0_s_1
eld241-t0_s_1_97	60307	60167	eld241-t0_s_1
eld241-t0_s_1_98	60832	60638	eld241-t0_s_1
eld241-t0_s_1_99	61870	62214	eld241-t0_s_1
eld241-t0_s_1_100	62894	62430	eld241-t0_s_1
eld241-t0_s_1_101	63612	63061	eld241-t0_s_1
eld241-t0_s_1_102	64431	64108	eld241-t0_s_1
eld241-t0_s_1_103	64928	64803	eld241-t0_s_1
eld241-t0_s_1_104	65449	65033	eld241-t0_s_1
eld241-t0_s_1_105	65684	65463	eld241-t0_s_1
eld241-t0_s_1_106	66161	66559	eld241-t0_s_1
eld241-t0_s_1_107	67198	67662	eld241-t0_s_1
eld241-t0_s_1_108	67607	67753	eld241-t0_s_1
eld241-t0_s_1_109	67774	68046	eld241-t0_s_1
eld241-t0_s_1_110	68064	68384	eld241-t0_s_1
eld241-t0_s_1_111	68381	68539	eld241-t0_s_1
eld241-t0_s_1_112	68726	69052	eld241-t0_s_1
eld241-t0_s_1_113	69107	69400	eld241-t0_s_1
eld241-t0_s_1_114	69654	70340	eld241-t0_s_1
eld241-t0_s_1_115	70502	70804	eld241-t0_s_1
eld241-t0_s_1_116	71666	71959	eld241-t0_s_1
eld241-t0_s_1_117	71965	72198	eld241-t0_s_1
eld241-t0_s_1_118	72195	72386	eld241-t0_s_1
eld241-t0_s_1_119	72528	72944	eld241-t0_s_1
eld241-t0_s_1_120	72913	73167	eld241-t0_s_1
eld241-t0_s_1_121	73172	73573	eld241-t0_s_1
eld241-t0_s_1_122	73530	73955	eld241-t0_s_1
eld241-t0_s_1_123	73952	74410	eld241-t0_s_1
eld241-t0_s_1_124	74407	74598	eld241-t0_s_1
eld241-t0_s_1_125	74601	74873	eld241-t0_s_1
eld241-t0_s_1_126	74870	75073	eld241-t0_s_1
eld241-t0_s_1_127	75445	75897	eld241-t0_s_1
eld241-t0_s_1_128	75900	76319	eld241-t0_s_1
eld241-t0_s_1_129	76322	76468	eld241-t0_s_1
eld241-t0_s_1_130	76434	76667	eld241-t0_s_1
eld241-t0_s_1_131	76704	77198	eld241-t0_s_1
eld241-t0_s_1_132	78020	78520	eld241-t0_s_1
eld241-t0_s_1_133	78533	78949	eld241-t0_s_1
eld241-t0_s_1_134	78979	79536	eld241-t0_s_1
eld241-t0_s_1_135	79542	79937	eld241-t0_s_1
eld241-t0_s_1_136	80004	81515	eld241-t0_s_1
eld241-t0_s_1_137	81617	82018	eld241-t0_s_1
eld241-t0_s_1_138	84189	84776	eld241-t0_s_1
eld241-t0_s_1_139	84781	85365	eld241-t0_s_1
eld241-t0_s_1_140	85642	86190	eld241-t0_s_1
eld241-t0_s_1_141	86315	87268	eld241-t0_s_1
eld241-t0_s_1_142	87286	87948	eld241-t0_s_1
eld241-t0_s_1_143	88045	89955	eld241-t0_s_1
eld241-t0_s_1_144	89977	90543	eld241-t0_s_1
eld241-t0_s_1_145	90524	91450	eld241-t0_s_1
eld241-t0_s_1_146	91474	91929	eld241-t0_s_1
eld241-t0_s_1_147	91955	92695	eld241-t0_s_1
eld241-t0_s_1_148	92786	93391	eld241-t0_s_1
eld241-t0_s_1_149	94113	95084	eld241-t0_s_1
eld241-t0_s_1_150	95077	95391	eld241-t0_s_1
eld241-t0_s_1_151	95372	95770	eld241-t0_s_1
eld241-t0_s_1_152	95791	96684	eld241-t0_s_1
eld241-t0_s_1_153	96684	97700	eld241-t0_s_1
eld241-t0_s_1_154	97697	98230	eld241-t0_s_1
eld241-t0_s_1_155	98594	98436	eld241-t0_s_1
eld241-t0_s_1_156	98822	98631	eld241-t0_s_1
eld241-t0_s_1_157	99164	99030	eld241-t0_s_1
eld241-t0_s_1_158	99647	99384	eld241-t0_s_1
eld241-t0_s_1_159	99848	99672	eld241-t0_s_1
eld241-t0_s_1_160	100385	100089	eld241-t0_s_1
eld241-t0_s_1_161	101075	100734	eld241-t0_s_1
eld241-t0_s_1_162	101594	101406	eld241-t0_s_1
eld241-t0_s_1_163	101933	101802	eld241-t0_s_1
eld241-t0_s_1_164	102335	101994	eld241-t0_s_1
eld241-t0_s_1_165	103088	102849	eld241-t0_s_1
