Protein	Beg	End	Reference
inf125_s_2_1	1242	313	inf125_s_2
inf125_s_2_2	1674	1249	inf125_s_2
inf125_s_2_3	2574	1795	inf125_s_2
inf125_s_2_4	3251	2997	inf125_s_2
inf125_s_2_5	3614	3372	inf125_s_2
inf125_s_2_6	3767	3615	inf125_s_2
inf125_s_2_7	4056	4232	inf125_s_2
inf125_s_2_8	4572	4393	inf125_s_2
inf125_s_2_9	5601	5323	inf125_s_2
inf125_s_2_10	5935	5744	inf125_s_2
inf125_s_2_11	6099	5968	inf125_s_2
inf125_s_2_12	7710	7150	inf125_s_2
inf125_s_2_13	8067	7873	inf125_s_2
inf125_s_2_14	8266	8165	inf125_s_2
inf125_s_2_15	8647	8471	inf125_s_2
inf125_s_2_16	9112	8801	inf125_s_2
inf125_s_2_17	9541	9284	inf125_s_2
inf125_s_2_18	10234	9788	inf125_s_2
inf125_s_2_19	11314	10238	inf125_s_2
inf125_s_2_20	11552	11409	inf125_s_2
inf125_s_2_21	11771	11583	inf125_s_2
inf125_s_2_22	11889	11782	inf125_s_2
inf125_s_2_23	12603	12418	inf125_s_2
inf125_s_2_24	13194	12733	inf125_s_2
inf125_s_2_25	13608	13309	inf125_s_2
inf125_s_2_26	13956	13759	inf125_s_2
inf125_s_2_27	14568	14395	inf125_s_2
inf125_s_2_28	15063	14683	inf125_s_2
inf125_s_2_29	15773	15504	inf125_s_2
inf125_s_2_30	16849	15875	inf125_s_2
inf125_s_2_31	17423	17070	inf125_s_2
inf125_s_2_32	17839	17639	inf125_s_2
inf125_s_2_33	18328	18203	inf125_s_2
inf125_s_2_34	19080	18328	inf125_s_2
inf125_s_2_35	20102	19113	inf125_s_2
inf125_s_2_36	21661	20198	inf125_s_2
inf125_s_2_37	21882	21700	inf125_s_2
inf125_s_2_38	22917	22096	inf125_s_2
inf125_s_2_39	23218	23099	inf125_s_2
inf125_s_2_40	23927	23457	inf125_s_2
inf125_s_2_41	24326	23967	inf125_s_2
inf125_s_2_42	24816	24433	inf125_s_2
inf125_s_2_43	25163	24900	inf125_s_2
inf125_s_2_44	25856	25188	inf125_s_2
inf125_s_2_45	26150	25869	inf125_s_2
inf125_s_2_46	26666	26259	inf125_s_2
inf125_s_2_47	27422	27264	inf125_s_2
inf125_s_2_48	27761	27429	inf125_s_2
inf125_s_2_49	28886	28500	inf125_s_2
inf125_s_2_50	29075	28911	inf125_s_2
inf125_s_2_51	29480	29172	inf125_s_2
inf125_s_2_52	29900	29703	inf125_s_2
inf125_s_2_53	30083	29973	inf125_s_2
inf125_s_2_54	30401	30246	inf125_s_2
inf125_s_2_55	31149	30997	inf125_s_2
inf125_s_2_56	31750	31205	inf125_s_2
inf125_s_2_57	32107	31763	inf125_s_2
inf125_s_2_58	32950	32207	inf125_s_2
inf125_s_2_59	33371	32931	inf125_s_2
inf125_s_2_60	33624	33364	inf125_s_2
inf125_s_2_61	33709	33578	inf125_s_2
inf125_s_2_62	34199	33771	inf125_s_2
inf125_s_2_63	34470	34201	inf125_s_2
inf125_s_2_64	34960	34565	inf125_s_2
inf125_s_2_65	35480	35127	inf125_s_2
inf125_s_2_66	35927	35730	inf125_s_2
inf125_s_2_67	36963	36094	inf125_s_2
inf125_s_2_68	37183	36965	inf125_s_2
inf125_s_2_69	37453	38037	inf125_s_2
inf125_s_2_70	38372	38686	inf125_s_2
inf125_s_2_71	40043	40489	inf125_s_2
inf125_s_2_72	41186	41485	inf125_s_2
inf125_s_2_73	41473	41784	inf125_s_2
inf125_s_2_74	41789	42157	inf125_s_2
inf125_s_2_75	42198	42647	inf125_s_2
inf125_s_2_76	42742	43185	inf125_s_2
inf125_s_2_77	43453	43716	inf125_s_2
inf125_s_2_78	43743	44141	inf125_s_2
inf125_s_2_79	44181	44438	inf125_s_2
inf125_s_2_80	45032	45277	inf125_s_2
inf125_s_2_81	45252	45533	inf125_s_2
inf125_s_2_82	45530	45715	inf125_s_2
inf125_s_2_83	45716	46174	inf125_s_2
inf125_s_2_84	46181	46663	inf125_s_2
inf125_s_2_85	46723	47271	inf125_s_2
inf125_s_2_86	47288	47653	inf125_s_2
inf125_s_2_87	47736	49118	inf125_s_2
inf125_s_2_88	49139	49507	inf125_s_2
inf125_s_2_89	51703	52269	inf125_s_2
inf125_s_2_90	52278	52811	inf125_s_2
inf125_s_2_91	53171	53692	inf125_s_2
inf125_s_2_92	53836	54510	inf125_s_2
inf125_s_2_93	54510	54734	inf125_s_2
inf125_s_2_94	54835	56769	inf125_s_2
inf125_s_2_95	56820	57386	inf125_s_2
inf125_s_2_96	57343	58350	inf125_s_2
inf125_s_2_97	58347	58895	inf125_s_2
inf125_s_2_98	58979	59719	inf125_s_2
inf125_s_2_99	59732	60343	inf125_s_2
inf125_s_2_100	60461	61603	inf125_s_2
inf125_s_2_101	61610	62404	inf125_s_2
inf125_s_2_102	62814	63821	inf125_s_2
inf125_s_2_103	63964	64158	inf125_s_2
inf125_s_2_104	64165	65070	inf125_s_2
inf125_s_2_105	65108	66007	inf125_s_2
inf125_s_2_106	65994	66983	inf125_s_2
inf125_s_2_107	66955	67083	inf125_s_2
inf125_s_2_108	67064	67441	inf125_s_2
inf125_s_2_109	67635	67510	inf125_s_2
inf125_s_2_110	67899	67642	inf125_s_2
inf125_s_2_111	68106	67978	inf125_s_2
inf125_s_2_112	68901	68608	inf125_s_2
inf125_s_2_113	69441	69019	inf125_s_2
inf125_s_2_114	69816	69508	inf125_s_2
inf125_s_2_115	70077	69922	inf125_s_2
inf125_s_2_116	70383	70090	inf125_s_2
inf125_s_2_117	70878	70717	inf125_s_2
inf125_s_2_118	71496	71326	inf125_s_2
inf125_s_2_119	71955	71737	inf125_s_2
inf125_s_2_120	72408	72283	inf125_s_2
inf125_s_2_121	72569	72411	inf125_s_2
inf125_s_2_122	73181	72921	inf125_s_2
inf125_s_2_123	73667	73260	inf125_s_2
inf125_s_2_124	73943	73731	inf125_s_2
inf125_s_2_125	74600	74376	inf125_s_2
inf125_s_2_126	74939	74631	inf125_s_2
inf125_s_2_127	75494	75027	inf125_s_2
inf125_s_2_128	75674	75510	inf125_s_2
inf125_s_2_129	76586	76059	inf125_s_2
inf125_s_2_130	77105	76713	inf125_s_2
inf125_s_2_131	77561	77118	inf125_s_2
inf125_s_2_132	77987	77634	inf125_s_2
inf125_s_2_133	78203	78051	inf125_s_2
inf125_s_2_134	78488	78213	inf125_s_2
inf125_s_2_135	78493	78873	inf125_s_2
inf125_s_2_136	79064	78870	inf125_s_2
inf125_s_2_137	80267	79893	inf125_s_2
inf125_s_2_138	80732	80436	inf125_s_2
inf125_s_2_139	81635	80775	inf125_s_2
inf125_s_2_140	81968	81711	inf125_s_2
inf125_s_2_141	82184	82083	inf125_s_2
inf125_s_2_142	82637	82515	inf125_s_2
inf125_s_2_143	82862	82680	inf125_s_2
inf125_s_2_144	84170	82992	inf125_s_2
inf125_s_2_145	85292	84834	inf125_s_2
inf125_s_2_146	85958	85791	inf125_s_2
inf125_s_2_147	87014	86205	inf125_s_2
inf125_s_2_148	87395	87153	inf125_s_2
inf125_s_2_149	87521	87402	inf125_s_2
inf125_s_2_150	87782	87687	inf125_s_2
inf125_s_2_151	88681	87779	inf125_s_2
inf125_s_2_152	89329	89078	inf125_s_2
inf125_s_2_153	89605	89483	inf125_s_2
inf125_s_2_154	89891	89640	inf125_s_2
inf125_s_2_155	90974	90801	inf125_s_2
inf125_s_2_156	91051	91227	inf125_s_2
inf125_s_2_157	91919	91209	inf125_s_2
inf125_s_2_158	92171	91947	inf125_s_2
inf125_s_2_159	92611	92724	inf125_s_2
inf125_s_2_160	92795	92679	inf125_s_2
inf125_s_2_161	93713	93000	inf125_s_2
inf125_s_2_162	93907	93788	inf125_s_2
inf125_s_2_163	94444	93926	inf125_s_2
inf125_s_2_164	94729	94562	inf125_s_2
inf125_s_2_165	94901	94758	inf125_s_2
inf125_s_2_166	95841	95539	inf125_s_2
inf125_s_2_167	96095	95997	inf125_s_2
inf125_s_2_168	97342	97184	inf125_s_2
inf125_s_2_169	97819	97436	inf125_s_2
inf125_s_2_170	98743	97838	inf125_s_2
inf125_s_2_171	99492	98857	inf125_s_2
inf125_s_2_172	100312	100139	inf125_s_2
inf125_s_2_173	100648	100361	inf125_s_2
inf125_s_2_174	101035	100763	inf125_s_2
inf125_s_2_175	101515	101297	inf125_s_2
