Protein	Beg	End	Reference
err844030_ms_1_2	18664	3890	err844030_ms_1
err844030_ms_1_3	20581	18668	err844030_ms_1
err844030_ms_1_4	22583	20583	err844030_ms_1
err844030_ms_1_5	26601	22585	err844030_ms_1
err844030_ms_1_6	27571	26588	err844030_ms_1
err844030_ms_1_7	28011	27568	err844030_ms_1
err844030_ms_1_8	28655	28011	err844030_ms_1
err844030_ms_1_9	29071	28652	err844030_ms_1
err844030_ms_1_10	29486	29073	err844030_ms_1
err844030_ms_1_11	30127	29534	err844030_ms_1
err844030_ms_1_12	30598	30191	err844030_ms_1
err844030_ms_1_13	31560	30616	err844030_ms_1
err844030_ms_1_14	32362	31601	err844030_ms_1
err844030_ms_1_15	33018	32410	err844030_ms_1
err844030_ms_1_16	33560	33015	err844030_ms_1
err844030_ms_1_17	34086	33715	err844030_ms_1
err844030_ms_1_18	36823	34088	err844030_ms_1
err844030_ms_1_19	37170	36826	err844030_ms_1
err844030_ms_1_20	38185	37145	err844030_ms_1
err844030_ms_1_21	43295	38535	err844030_ms_1
err844030_ms_1_22	43716	43297	err844030_ms_1
err844030_ms_1_23	48031	43727	err844030_ms_1
err844030_ms_1_24	48353	48033	err844030_ms_1
err844030_ms_1_25	48480	48307	err844030_ms_1
err844030_ms_1_26	49627	48650	err844030_ms_1
err844030_ms_1_27	50439	49738	err844030_ms_1
err844030_ms_1_28	51116	50439	err844030_ms_1
err844030_ms_1_29	51849	51139	err844030_ms_1
err844030_ms_1_30	52610	51858	err844030_ms_1
err844030_ms_1_31	54147	52660	err844030_ms_1
err844030_ms_1_32	55360	54173	err844030_ms_1
err844030_ms_1_33	55602	55387	err844030_ms_1
err844030_ms_1_34	56903	55608	err844030_ms_1
err844030_ms_1_35	59553	56989	err844030_ms_1
err844030_ms_1_36	61618	59555	err844030_ms_1
err844030_ms_1_37	61840	61622	err844030_ms_1
err844030_ms_1_38	62442	61906	err844030_ms_1
err844030_ms_1_39	62807	62445	err844030_ms_1
err844030_ms_1_40	62967	62809	err844030_ms_1
err844030_ms_1_41	63415	62909	err844030_ms_1
err844030_ms_1_42	64113	63502	err844030_ms_1
err844030_ms_1_43	64526	64056	err844030_ms_1
err844030_ms_1_44	64713	64489	err844030_ms_1
err844030_ms_1_45	65092	64688	err844030_ms_1
err844030_ms_1_46	65454	65089	err844030_ms_1
err844030_ms_1_47	65857	65447	err844030_ms_1
err844030_ms_1_48	66054	65860	err844030_ms_1
err844030_ms_1_49	66356	66060	err844030_ms_1
err844030_ms_1_50	66865	66473	err844030_ms_1
err844030_ms_1_51	67106	66900	err844030_ms_1
err844030_ms_1_52	67496	67269	err844030_ms_1
err844030_ms_1_53	67718	67527	err844030_ms_1
err844030_ms_1_54	68001	67732	err844030_ms_1
err844030_ms_1_55	68260	68838	err844030_ms_1
err844030_ms_1_56	69451	69654	err844030_ms_1
err844030_ms_1_57	69647	69829	err844030_ms_1
err844030_ms_1_58	69834	70043	err844030_ms_1
err844030_ms_1_59	70040	70207	err844030_ms_1
err844030_ms_1_60	71291	71719	err844030_ms_1
err844030_ms_1_61	71917	72378	err844030_ms_1
err844030_ms_1_62	72362	72586	err844030_ms_1
err844030_ms_1_63	72583	72843	err844030_ms_1
err844030_ms_1_64	72884	73348	err844030_ms_1
err844030_ms_1_65	73467	73934	err844030_ms_1
err844030_ms_1_66	74262	74702	err844030_ms_1
err844030_ms_1_67	74674	74814	err844030_ms_1
err844030_ms_1_68	74999	75298	err844030_ms_1
err844030_ms_1_69	75323	75775	err844030_ms_1
err844030_ms_1_70	75782	76153	err844030_ms_1
err844030_ms_1_71	76212	76589	err844030_ms_1
err844030_ms_1_72	77580	77822	err844030_ms_1
err844030_ms_1_73	77836	78201	err844030_ms_1
err844030_ms_1_74	78203	78382	err844030_ms_1
err844030_ms_1_75	78379	78861	err844030_ms_1
err844030_ms_1_76	78804	79298	err844030_ms_1
err844030_ms_1_77	79430	79990	err844030_ms_1
err844030_ms_1_78	80006	80380	err844030_ms_1
err844030_ms_1_79	80474	81871	err844030_ms_1
err844030_ms_1_80	81894	82295	err844030_ms_1
err844030_ms_1_81	84840	85376	err844030_ms_1
err844030_ms_1_82	85382	85921	err844030_ms_1
err844030_ms_1_83	86196	86705	err844030_ms_1
err844030_ms_1_84	86824	87975	err844030_ms_1
err844030_ms_1_85	88129	90036	err844030_ms_1
err844030_ms_1_86	90092	90658	err844030_ms_1
err844030_ms_1_87	90639	91568	err844030_ms_1
err844030_ms_1_88	91609	92103	err844030_ms_1
err844030_ms_1_89	92201	92944	err844030_ms_1
err844030_ms_1_90	92962	93600	err844030_ms_1
err844030_ms_1_91	93728	94753	err844030_ms_1
err844030_ms_1_92	94755	94940	err844030_ms_1
err844030_ms_1_93	94947	95534	err844030_ms_1
err844030_ms_1_94	95518	95673	err844030_ms_1
err844030_ms_1_95	95624	96031	err844030_ms_1
err844030_ms_1_96	96000	96323	err844030_ms_1
err844030_ms_1_97	96307	96618	err844030_ms_1
err844030_ms_1_98	96596	97306	err844030_ms_1
err844030_ms_1_99	97323	97490	err844030_ms_1
err844030_ms_1_100	97493	98488	err844030_ms_1
err844030_ms_1_101	98485	98991	err844030_ms_1
