Protein	Beg	End	Reference
err975045_s_1_2	415	152	err975045_s_1
err975045_s_1_3	1023	415	err975045_s_1
err975045_s_1_4	1152	1030	err975045_s_1
err975045_s_1_5	2143	1154	err975045_s_1
err975045_s_1_6	2779	2162	err975045_s_1
err975045_s_1_7	3258	2761	err975045_s_1
err975045_s_1_8	3892	3368	err975045_s_1
err975045_s_1_9	4681	5157	err975045_s_1
err975045_s_1_10	5478	5792	err975045_s_1
err975045_s_1_11	5789	5881	err975045_s_1
err975045_s_1_12	5884	6093	err975045_s_1
err975045_s_1_13	6282	6497	err975045_s_1
err975045_s_1_14	6805	7050	err975045_s_1
err975045_s_1_15	7047	7232	err975045_s_1
err975045_s_1_16	7225	7482	err975045_s_1
err975045_s_1_17	7558	7884	err975045_s_1
err975045_s_1_18	7932	8474	err975045_s_1
err975045_s_1_19	8546	8743	err975045_s_1
err975045_s_1_20	8793	8978	err975045_s_1
err975045_s_1_21	8998	9423	err975045_s_1
err975045_s_1_22	9543	9713	err975045_s_1
err975045_s_1_23	9715	9846	err975045_s_1
err975045_s_1_24	9961	10209	err975045_s_1
err975045_s_1_25	10190	10975	err975045_s_1
err975045_s_1_26	10981	11157	err975045_s_1
err975045_s_1_27	11154	11495	err975045_s_1
err975045_s_1_28	11535	12047	err975045_s_1
err975045_s_1_29	12135	12461	err975045_s_1
err975045_s_1_30	12463	12774	err975045_s_1
err975045_s_1_31	12780	13061	err975045_s_1
err975045_s_1_32	13064	13372	err975045_s_1
err975045_s_1_33	13425	13715	err975045_s_1
err975045_s_1_34	13715	14215	err975045_s_1
err975045_s_1_35	14216	15694	err975045_s_1
err975045_s_1_36	15687	16004	err975045_s_1
err975045_s_1_37	16122	16514	err975045_s_1
err975045_s_1_38	16521	16640	err975045_s_1
err975045_s_1_39	16647	17219	err975045_s_1
err975045_s_1_40	17209	19482	err975045_s_1
err975045_s_1_41	19479	20891	err975045_s_1
err975045_s_1_42	20951	21883	err975045_s_1
err975045_s_1_43	21955	22779	err975045_s_1
err975045_s_1_44	22880	23848	err975045_s_1
err975045_s_1_45	23898	25163	err975045_s_1
err975045_s_1_46	25120	25563	err975045_s_1
err975045_s_1_47	25560	26057	err975045_s_1
err975045_s_1_48	26054	27253	err975045_s_1
err975045_s_1_49	27265	27723	err975045_s_1
err975045_s_1_50	27727	28083	err975045_s_1
err975045_s_1_51	28421	29887	err975045_s_1
err975045_s_1_52	29903	30139	err975045_s_1
err975045_s_1_53	30148	30630	err975045_s_1
err975045_s_1_54	30636	31286	err975045_s_1
err975045_s_1_55	31292	32251	err975045_s_1
err975045_s_1_56	32242	32463	err975045_s_1
err975045_s_1_57	32468	32650	err975045_s_1
err975045_s_1_58	32660	33424	err975045_s_1
err975045_s_1_59	33424	33711	err975045_s_1
err975045_s_1_60	33724	34017	err975045_s_1
err975045_s_1_61	34057	35109	err975045_s_1
err975045_s_1_62	35099	35380	err975045_s_1
err975045_s_1_63	35717	36193	err975045_s_1
err975045_s_1_64	36197	36802	err975045_s_1
err975045_s_1_65	36830	37117	err975045_s_1
err975045_s_1_66	37086	37355	err975045_s_1
err975045_s_1_67	37451	37708	err975045_s_1
err975045_s_1_68	52031	38670	err975045_s_1
err975045_s_1_69	59105	52104	err975045_s_1
err975045_s_1_70	61674	59107	err975045_s_1
err975045_s_1_71	65903	61758	err975045_s_1
err975045_s_1_72	67804	65906	err975045_s_1
err975045_s_1_73	71283	67807	err975045_s_1
err975045_s_1_74	72020	71286	err975045_s_1
err975045_s_1_75	72930	71983	err975045_s_1
err975045_s_1_76	73622	72933	err975045_s_1
err975045_s_1_77	73678	73854	err975045_s_1
err975045_s_1_78	74592	74221	err975045_s_1
err975045_s_1_79	74922	74596	err975045_s_1
err975045_s_1_80	75483	75058	err975045_s_1
err975045_s_1_81	75784	75554	err975045_s_1
err975045_s_1_82	76262	75792	err975045_s_1
err975045_s_1_83	76579	76262	err975045_s_1
err975045_s_1_84	77374	76598	err975045_s_1
err975045_s_1_85	77526	77401	err975045_s_1
err975045_s_1_86	78068	77730	err975045_s_1
err975045_s_1_87	78779	78345	err975045_s_1
err975045_s_1_88	79724	78804	err975045_s_1
err975045_s_1_89	79878	79744	err975045_s_1
err975045_s_1_90	80853	79882	err975045_s_1
err975045_s_1_91	81549	80980	err975045_s_1
err975045_s_1_92	81786	81562	err975045_s_1
err975045_s_1_93	82431	81808	err975045_s_1
err975045_s_1_94	83390	82521	err975045_s_1
err975045_s_1_95	84250	83414	err975045_s_1
err975045_s_1_96	85401	84277	err975045_s_1
err975045_s_1_97	86902	85424	err975045_s_1
err975045_s_1_98	88286	86937	err975045_s_1
err975045_s_1_99	91169	88740	err975045_s_1
err975045_s_1_100	93504	91201	err975045_s_1
err975045_s_1_101	93824	93501	err975045_s_1
