Protein	Beg	End	Reference
sib1_ms_5_1	731	108	sib1_ms_5
sib1_ms_5_2	1706	2194	sib1_ms_5
sib1_ms_5_3	2198	2620	sib1_ms_5
sib1_ms_5_4	2577	3560	sib1_ms_5
sib1_ms_5_5	3812	4465	sib1_ms_5
sib1_ms_5_6	4469	4798	sib1_ms_5
sib1_ms_5_7	4755	5126	sib1_ms_5
sib1_ms_5_8	5130	5762	sib1_ms_5
sib1_ms_5_9	5704	9045	sib1_ms_5
sib1_ms_5_10	9042	11366	sib1_ms_5
sib1_ms_5_11	11493	12788	sib1_ms_5
sib1_ms_5_12	12840	14312	sib1_ms_5
sib1_ms_5_13	14397	15404	sib1_ms_5
sib1_ms_5_14	15407	16483	sib1_ms_5
sib1_ms_5_15	16487	17383	sib1_ms_5
sib1_ms_5_16	17595	17885	sib1_ms_5
sib1_ms_5_17	17876	20944	sib1_ms_5
sib1_ms_5_18	20965	21243	sib1_ms_5
sib1_ms_5_19	21259	21492	sib1_ms_5
sib1_ms_5_20	21529	22167	sib1_ms_5
sib1_ms_5_21	22183	24213	sib1_ms_5
sib1_ms_5_22	24217	24909	sib1_ms_5
sib1_ms_5_23	24960	25211	sib1_ms_5
sib1_ms_5_24	25489	25863	sib1_ms_5
sib1_ms_5_25	25880	26215	sib1_ms_5
sib1_ms_5_26	26312	26518	sib1_ms_5
sib1_ms_5_27	26661	27014	sib1_ms_5
sib1_ms_5_28	27161	27799	sib1_ms_5
sib1_ms_5_29	27875	28366	sib1_ms_5
sib1_ms_5_30	28370	28747	sib1_ms_5
sib1_ms_5_31	28731	29240	sib1_ms_5
sib1_ms_5_32	29315	29992	sib1_ms_5
sib1_ms_5_33	29996	30709	sib1_ms_5
sib1_ms_5_34	30728	31600	sib1_ms_5
sib1_ms_5_35	31597	32346	sib1_ms_5
sib1_ms_5_36	32355	36629	sib1_ms_5
sib1_ms_5_37	36726	39743	sib1_ms_5
sib1_ms_5_38	39849	42989	sib1_ms_5
sib1_ms_5_39	42993	50975	sib1_ms_5
sib1_ms_5_40	50979	64157	sib1_ms_5
sib1_ms_5_41	64710	64444	sib1_ms_5
sib1_ms_5_42	65199	64714	sib1_ms_5
sib1_ms_5_43	65879	65214	sib1_ms_5
sib1_ms_5_44	66206	65886	sib1_ms_5
sib1_ms_5_45	67319	66207	sib1_ms_5
sib1_ms_5_46	67556	67341	sib1_ms_5
sib1_ms_5_47	68318	67590	sib1_ms_5
sib1_ms_5_48	68951	68325	sib1_ms_5
sib1_ms_5_49	69203	68958	sib1_ms_5
sib1_ms_5_50	69462	69163	sib1_ms_5
sib1_ms_5_51	70491	69469	sib1_ms_5
sib1_ms_5_52	70523	70666	sib1_ms_5
sib1_ms_5_53	71879	70596	sib1_ms_5
sib1_ms_5_54	73207	71879	sib1_ms_5
sib1_ms_5_55	73660	73211	sib1_ms_5
sib1_ms_5_56	74669	73650	sib1_ms_5
sib1_ms_5_57	75671	74859	sib1_ms_5
sib1_ms_5_58	76426	75791	sib1_ms_5
sib1_ms_5_59	77449	76493	sib1_ms_5
sib1_ms_5_60	78989	77514	sib1_ms_5
sib1_ms_5_61	79160	78993	sib1_ms_5
sib1_ms_5_62	79481	79167	sib1_ms_5
sib1_ms_5_63	81956	79494	sib1_ms_5
sib1_ms_5_64	82517	81969	sib1_ms_5
sib1_ms_5_65	84036	82573	sib1_ms_5
sib1_ms_5_66	84374	84042	sib1_ms_5
sib1_ms_5_67	84804	84355	sib1_ms_5
sib1_ms_5_68	85440	84805	sib1_ms_5
sib1_ms_5_69	85790	85446	sib1_ms_5
sib1_ms_5_70	85914	85756	sib1_ms_5
sib1_ms_5_71	86100	85918	sib1_ms_5
sib1_ms_5_72	86873	86613	sib1_ms_5
sib1_ms_5_73	87278	86949	sib1_ms_5
sib1_ms_5_74	87853	87692	sib1_ms_5
sib1_ms_5_75	88484	87933	sib1_ms_5
sib1_ms_5_76	88798	88487	sib1_ms_5
sib1_ms_5_77	89005	88802	sib1_ms_5
sib1_ms_5_78	89311	89123	sib1_ms_5
sib1_ms_5_79	89569	89417	sib1_ms_5
sib1_ms_5_80	90022	89588	sib1_ms_5
sib1_ms_5_81	90364	90029	sib1_ms_5
sib1_ms_5_82	90852	90385	sib1_ms_5
sib1_ms_5_83	91047	90859	sib1_ms_5
sib1_ms_5_84	92068	91733	sib1_ms_5
