#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
hvcf_a6_ms_4_83      -          VOG0006              -              0.002   13.1   5.2    0.0023   12.9   5.2   1.1   1   0   0   1   1   1   1 -
sib1_ms_5_54            -          VOG0018              -            1.6e-39  132.2   0.3   2.1e-39  131.9   0.3   1.1   1   0   0   1   1   1   1 -
err975045_s_1_48        -          VOG0018              -            5.7e-33  110.7   0.8   6.7e-33  110.5   0.8   1.1   1   0   0   1   1   1   1 -
KP06_gp24               -          VOG0018              -            1.7e-31  105.8   0.5   2.1e-31  105.5   0.5   1.0   1   0   0   1   1   1   1 -
nc_024711_crassphage_24 -          VOG0018              -            1.7e-31  105.8   0.5   2.2e-31  105.5   0.5   1.0   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_68         -          VOG0018              -            2.2e-31  105.5   1.0     3e-31  105.0   1.0   1.2   1   0   0   1   1   1   1 -
srr4295175_ms_5_52      -          VOG0018              -            2.5e-30  102.0   0.1   2.9e-30  101.8   0.1   1.0   1   0   0   1   1   1   1 -
cs_ms_21_58             -          VOG0018              -            5.6e-30  100.9   3.4   6.7e-30  100.6   3.4   1.1   1   0   0   1   1   1   1 -
KP06_gp26               -          VOG0020              -              6e-34  114.0   3.9   7.4e-34  113.7   3.9   1.1   1   0   0   1   1   1   1 -
nc_024711_crassphage_26 -          VOG0020              -            9.3e-34  113.4   3.9   1.2e-33  113.1   3.9   1.1   1   0   0   1   1   1   1 -
hvcf_a6_ms_4_71         -          VOG0020              -            5.2e-32  107.7   4.2   6.8e-32  107.3   4.2   1.1   1   0   0   1   1   1   1 -
sib1_ms_5_48            -          VOG0020              -            1.3e-16   57.4   0.1   1.6e-16   57.1   0.1   1.0   1   0   0   1   1   1   1 -
fferm_ms_11_93          -          VOG0020              -             0.0032   13.7   0.0    0.0057   12.9   0.0   1.5   1   1   0   1   1   1   1 -
hvcf_a6_ms_4_57         -          VOG0020              -             0.0049   13.1   0.6    0.0096   12.2   0.0   1.8   2   0   0   2   2   2   1 -
err844030_ms_1_89       -          VOG0020              -             0.0077   12.5   0.0    0.0097   12.2   0.0   1.3   1   1   0   1   1   1   1 -
inf125_s_2_96        -          VOG0025              -            7.3e-24   81.5   0.3   8.9e-24   81.2   0.3   1.0   1   0   0   1   1   1   1 -
eld241-t0_s_1_145    -          VOG0025              -            2.8e-23   79.6   0.0   3.5e-23   79.3   0.0   1.0   1   0   0   1   1   1   1 -
