Protein	Beg	End	Reference
srr4295175_ms_5_2	1266	2585	srr4295175_ms_5
srr4295175_ms_5_3	2602	4077	srr4295175_ms_5
srr4295175_ms_5_4	4104	5258	srr4295175_ms_5
srr4295175_ms_5_5	5271	5924	srr4295175_ms_5
srr4295175_ms_5_6	5926	6816	srr4295175_ms_5
srr4295175_ms_5_7	6909	7499	srr4295175_ms_5
srr4295175_ms_5_8	7499	7717	srr4295175_ms_5
srr4295175_ms_5_9	7714	8682	srr4295175_ms_5
srr4295175_ms_5_10	8684	12145	srr4295175_ms_5
srr4295175_ms_5_11	12148	20022	srr4295175_ms_5
srr4295175_ms_5_12	20128	20448	srr4295175_ms_5
srr4295175_ms_5_13	20438	25081	srr4295175_ms_5
srr4295175_ms_5_14	25186	25497	srr4295175_ms_5
srr4295175_ms_5_15	25700	26416	srr4295175_ms_5
srr4295175_ms_5_16	26444	26959	srr4295175_ms_5
srr4295175_ms_5_17	26959	27330	srr4295175_ms_5
srr4295175_ms_5_18	27338	27994	srr4295175_ms_5
srr4295175_ms_5_19	28098	28271	srr4295175_ms_5
srr4295175_ms_5_20	28273	28590	srr4295175_ms_5
srr4295175_ms_5_21	28695	29234	srr4295175_ms_5
srr4295175_ms_5_22	29583	30275	srr4295175_ms_5
srr4295175_ms_5_23	30278	31249	srr4295175_ms_5
srr4295175_ms_5_24	31203	31934	srr4295175_ms_5
srr4295175_ms_5_25	31934	35797	srr4295175_ms_5
srr4295175_ms_5_26	35794	37470	srr4295175_ms_5
srr4295175_ms_5_27	37488	40256	srr4295175_ms_5
srr4295175_ms_5_28	40260	46319	srr4295175_ms_5
srr4295175_ms_5_29	46453	58872	srr4295175_ms_5
srr4295175_ms_5_30	59460	58969	srr4295175_ms_5
srr4295175_ms_5_31	60084	59905	srr4295175_ms_5
srr4295175_ms_5_32	60266	60081	srr4295175_ms_5
srr4295175_ms_5_33	60507	60343	srr4295175_ms_5
srr4295175_ms_5_34	60620	60504	srr4295175_ms_5
srr4295175_ms_5_35	60909	60613	srr4295175_ms_5
srr4295175_ms_5_36	61604	60921	srr4295175_ms_5
srr4295175_ms_5_37	61841	61608	srr4295175_ms_5
srr4295175_ms_5_38	62509	61841	srr4295175_ms_5
srr4295175_ms_5_39	62696	62502	srr4295175_ms_5
srr4295175_ms_5_40	62925	62680	srr4295175_ms_5
srr4295175_ms_5_41	63068	62916	srr4295175_ms_5
srr4295175_ms_5_42	64147	63059	srr4295175_ms_5
srr4295175_ms_5_43	64254	64150	srr4295175_ms_5
srr4295175_ms_5_44	65029	64256	srr4295175_ms_5
srr4295175_ms_5_45	65189	65019	srr4295175_ms_5
srr4295175_ms_5_46	65472	65140	srr4295175_ms_5
srr4295175_ms_5_47	65758	65465	srr4295175_ms_5
srr4295175_ms_5_48	66041	65760	srr4295175_ms_5
srr4295175_ms_5_49	66363	66031	srr4295175_ms_5
srr4295175_ms_5_50	66628	66350	srr4295175_ms_5
srr4295175_ms_5_51	67336	66983	srr4295175_ms_5
srr4295175_ms_5_52	68558	67293	srr4295175_ms_5
srr4295175_ms_5_53	69037	68555	srr4295175_ms_5
srr4295175_ms_5_54	69548	69009	srr4295175_ms_5
srr4295175_ms_5_55	70674	69541	srr4295175_ms_5
srr4295175_ms_5_56	71792	70749	srr4295175_ms_5
srr4295175_ms_5_57	72723	71968	srr4295175_ms_5
srr4295175_ms_5_58	73761	72841	srr4295175_ms_5
srr4295175_ms_5_59	75301	73835	srr4295175_ms_5
srr4295175_ms_5_60	75531	75298	srr4295175_ms_5
srr4295175_ms_5_61	75773	75534	srr4295175_ms_5
srr4295175_ms_5_62	77961	75775	srr4295175_ms_5
srr4295175_ms_5_63	79441	77984	srr4295175_ms_5
srr4295175_ms_5_64	79796	79431	srr4295175_ms_5
srr4295175_ms_5_65	80050	79820	srr4295175_ms_5
srr4295175_ms_5_66	80363	80052	srr4295175_ms_5
srr4295175_ms_5_67	80487	80341	srr4295175_ms_5
srr4295175_ms_5_68	80851	80507	srr4295175_ms_5
srr4295175_ms_5_69	81807	81277	srr4295175_ms_5
srr4295175_ms_5_70	82334	81951	srr4295175_ms_5
srr4295175_ms_5_71	82503	82351	srr4295175_ms_5
srr4295175_ms_5_72	83511	82576	srr4295175_ms_5
srr4295175_ms_5_73	83727	83909	srr4295175_ms_5
srr4295175_ms_5_74	83982	84188	srr4295175_ms_5
srr4295175_ms_5_75	84777	84589	srr4295175_ms_5
srr4295175_ms_5_76	85529	85350	srr4295175_ms_5
srr4295175_ms_5_77	86465	85773	srr4295175_ms_5
srr4295175_ms_5_78	87226	86954	srr4295175_ms_5
srr4295175_ms_5_79	87689	88378	srr4295175_ms_5
srr4295175_ms_5_80	88384	88929	srr4295175_ms_5
srr4295175_ms_5_81	88886	89605	srr4295175_ms_5
srr4295175_ms_5_82	89602	90600	srr4295175_ms_5
srr4295175_ms_5_83	90617	91231	srr4295175_ms_5
srr4295175_ms_5_84	91228	91566	srr4295175_ms_5
srr4295175_ms_5_85	91589	91912	srr4295175_ms_5
srr4295175_ms_5_86	91925	94222	srr4295175_ms_5
srr4295175_ms_5_87	94225	94491	srr4295175_ms_5
