gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
srr4295175_ms_5_1	portal	Portal	assembly.capsid	putative Portal protein	VOG11088	0.0033	13.8	unknown	hypothetical protein	G-putative Portal protein
srr4295175_ms_5_2	gene77	putative structural protein	assembly.capsid	unknown	VOG10355	0.0081	12.5	unknown	hypothetical protein	Y-putative structural protein
srr4295175_ms_5_3	MCP	Major Capsid Protein	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
srr4295175_ms_5_4	gene75	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
srr4295175_ms_5_5	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
srr4295175_ms_5_6	gene73	putative structural protein	assembly	putative Tail sheath protein	VOG4365	0.0092	12.1	unknown	hypothetical protein	G-putative Tail sheath protein
srr4295175_ms_5_7				unknown	VOG7235	0.00035	17.0	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_8				unknown						G-unknown
srr4295175_ms_5_9				unknown						G-unknown
srr4295175_ms_5_10				unknown	VOG10153	0.11	8.7	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_11				unknown						G-unknown
srr4295175_ms_5_12				unknown						G-unknown
srr4295175_ms_5_13				unknown	VOG2463	0.0011	15.6	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_14				unknown						G-unknown
srr4295175_ms_5_15				unknown						G-unknown
srr4295175_ms_5_16				unknown	VOG4581	0.0015	14.5	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_17				unknown						G-unknown
srr4295175_ms_5_18				unknown						G-unknown
srr4295175_ms_5_19				unknown	VOG4214	0.046	10.1	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_20				unknown						G-unknown
srr4295175_ms_5_21				unknown	VOG10904	4e-10	35.2	HNH endonuclease	HNH endonuclease	P-HNH endonuclease
srr4295175_ms_5_22	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
srr4295175_ms_5_23				unknown						G-unknown
srr4295175_ms_5_24	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
srr4295175_ms_5_25	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog						G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
srr4295175_ms_5_26	gene49	Uncharacterized protein		unknown						Y-Uncharacterized protein
srr4295175_ms_5_27				unknown						G-unknown
srr4295175_ms_5_28				unknown						G-unknown
srr4295175_ms_5_29				unknown						G-unknown
srr4295175_ms_5_30				unknown	VOG3129	0.0049	12.8	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_31				unknown						G-unknown
srr4295175_ms_5_32				unknown						G-unknown
srr4295175_ms_5_33				unknown	VOG7608	0.013000000000000001	12.0	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_34				unknown						G-unknown
srr4295175_ms_5_35				unknown						G-unknown
srr4295175_ms_5_36				unknown	VOG0686	3.1000000000000002e-21	71.4	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_37				unknown	VOG6786	3.2e-07	26.7	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_38	dUTP	dUTP diphosphatase		unknown	VOG0085	1.2e-31	105.8	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase	Y-dUTP diphosphatase
srr4295175_ms_5_39				unknown						G-unknown
srr4295175_ms_5_40				unknown						G-unknown
srr4295175_ms_5_41				unknown	VOG5395	0.00045	16.3	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_42	gene34	Uncharacterized protein	replication	putative Protein of unknown function (DUF932)	VOG2486	1.8999999999999998e-52	174.7	unknown	hypothetical protein	G-putative Protein of unknown function (DUF932)
srr4295175_ms_5_43				unknown						G-unknown
srr4295175_ms_5_44	gene32	Siphovirus Gp157 homolog	replication	putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor	VOG0321	3.2e-11	39.5	unknown	hypothetical protein	G-putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor
srr4295175_ms_5_45				unknown						G-unknown
srr4295175_ms_5_46				unknown						G-unknown
srr4295175_ms_5_47				unknown						G-unknown
srr4295175_ms_5_48				unknown						G-unknown
srr4295175_ms_5_49				unknown	VOG10904	2.4e-08	29.4	HNH endonuclease	HNH endonuclease	P-HNH endonuclease
srr4295175_ms_5_50				unknown						G-unknown
srr4295175_ms_5_51				unknown	VOG7891	0.0032	13.6	unknown	hypothetical protein	P-unknown
srr4295175_ms_5_52	ligase25	Ligase		unknown	VOG0018	2.5000000000000002e-30	102.0	DNA ligase	DNA ligase	Y-Ligase
srr4295175_ms_5_53				unknown						G-unknown
