gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
err975045_s_1_1				unknown	VOG4145	0.002	14.1	unknown	hypothetical protein	P-unknown
err975045_s_1_2				unknown						G-unknown
err975045_s_1_3				unknown	VOG10334	3.7e-23	78.4	unknown	hypothetical protein	P-unknown
err975045_s_1_4				unknown	VOG4184	0.0075	12.5	unknown	hypothetical protein	P-unknown
err975045_s_1_5	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG2848	1.1e-58	194.8	AddA-like	AddA-like protein	G-putative PD-(D/E)XK superfamily nuclease
err975045_s_1_6	gene86	Uncharacterized protein		unknown						Y-Uncharacterized protein
err975045_s_1_7				unknown						G-unknown
err975045_s_1_8				unknown						G-unknown
err975045_s_1_9				unknown						G-unknown
err975045_s_1_10				unknown						G-unknown
err975045_s_1_11				unknown						G-unknown
err975045_s_1_12				unknown	VOG0287	0.0002	17.0	superinfection exclusion  B	superinfection exclusion protein B	P-superinfection exclusion  B
err975045_s_1_13				unknown						G-unknown
err975045_s_1_14				unknown						G-unknown
err975045_s_1_15				unknown						G-unknown
err975045_s_1_16				unknown	VOG6127	0.00028	17.3	unknown	hypothetical protein	P-unknown
err975045_s_1_17				unknown	VOG9493	0.0076	12.6	holin	holin	P-holin
err975045_s_1_18				unknown						G-unknown
err975045_s_1_19				unknown						G-unknown
err975045_s_1_20				unknown						G-unknown
err975045_s_1_21				unknown	VOG5357	9.800000000000001e-06	21.5	unknown	hypothetical protein	P-unknown
err975045_s_1_22				unknown						G-unknown
err975045_s_1_23				unknown						G-unknown
err975045_s_1_24				unknown						G-unknown
err975045_s_1_25				unknown						G-unknown
err975045_s_1_26				unknown						G-unknown
err975045_s_1_27				unknown						G-unknown
err975045_s_1_28				unknown						G-unknown
err975045_s_1_29				unknown	VOG7041	0.0017	14.6	unknown	hypothetical protein	P-unknown
err975045_s_1_30				unknown						G-unknown
err975045_s_1_31				unknown	VOG0709	0.00054	16.3	unknown	hypothetical protein	P-unknown
err975045_s_1_32				unknown						G-unknown
err975045_s_1_33				unknown						G-unknown
err975045_s_1_34				unknown						G-unknown
err975045_s_1_35	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG0377	6.999999999999999e-64	212.7	DNA helicase	DNA helicase	G-putative SF1 helicase
err975045_s_1_36				unknown						G-unknown
err975045_s_1_37				unknown						G-unknown
err975045_s_1_38				unknown						G-unknown
err975045_s_1_39	UDG	Uracil-DNA glycosylase	replication	putative Uracyl-DNA glycosylase						G-putative Uracyl-DNA glycosylase
err975045_s_1_40	PolB	Polymerase B	replication	putative DNA polymerase family B	VOG4577	3.5999999999999997e-35	117.9	DNA polymerase	DNA polymerase	G-putative DNA polymerase family B
err975045_s_1_41	SNF2_helic18	SNF2 helicase	replication	putative SWI2/SNF2 ATPase, non-canonical Walker A motif	VOG5754	0.005	13.0	unknown	hypothetical protein	G-putative SWI2/SNF2 ATPase, non-canonical Walker A motif
err975045_s_1_42	gene19	phage RecT recombinase	replication	putative RecT, phage RecT recombinase	VOG4360	5.2000000000000004e-05	19.1	unknown	hypothetical protein	G-putative RecT, phage RecT recombinase
err975045_s_1_43	gene20	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
err975045_s_1_44	gene21	single stranded DNA-binding pr.	replication	putative ssb single stranded DNA-binding protein	VOG6595	0.017	11.4	unknown	hypothetical protein	G-putative ssb single stranded DNA-binding protein
err975045_s_1_45	primase	DnaG family primase	replication	putative DnaG family primase						G-putative DnaG family primase
err975045_s_1_46	gene23	Uncharacterized protein	replication	unknown						Y-Uncharacterized protein
err975045_s_1_47				unknown	VOG4486	0.00023999999999999998	16.7	unknown	hypothetical protein	P-unknown
err975045_s_1_48	ligase25	Ligase		unknown	VOG0018	5.699999999999999e-33	110.7	DNA ligase	DNA ligase	Y-Ligase
err975045_s_1_49				unknown	VOG0469	0.0038	13.3	unknown	hypothetical protein	P-unknown
err975045_s_1_50				unknown						G-unknown
err975045_s_1_51				unknown	VOG6363	4.9000000000000005e-06	22.0	unknown	hypothetical protein	P-unknown
err975045_s_1_52				unknown						G-unknown
err975045_s_1_53				unknown						G-unknown
err975045_s_1_54				unknown	VOG4966	5.500000000000001e-20	67.7	unknown	hypothetical protein	P-unknown
err975045_s_1_55	ThyX	Thymidylate synthase		unknown	VOG4561	5.1e-15	52.0	thymidylate synthase	thymidylate synthase	Y-Thymidylate synthase
err975045_s_1_56				unknown						G-unknown
err975045_s_1_57				unknown	VOG0623	0.0017	13.7	unknown	hypothetical protein	P-unknown
err975045_s_1_58	gene32	Siphovirus Gp157 homolog	replication	putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor	VOG0321	7.4e-13	44.8	unknown	hypothetical protein	G-putative siphovirus Gp157 family protein, GAM-like host nuclease inhibitor
err975045_s_1_59				unknown	VOG10535	0.0011	15.1	unknown	hypothetical protein	P-unknown
err975045_s_1_60				unknown						G-unknown
err975045_s_1_61	gene34	Uncharacterized protein	replication	putative Protein of unknown function (DUF932)	VOG2486	3.3999999999999997e-59	196.9	unknown	hypothetical protein	G-putative Protein of unknown function (DUF932)
err975045_s_1_62				unknown						G-unknown
