Protein	Beg	End	Reference
hvcf_a6_ms_4_2	4132	1928	hvcf_a6_ms_4
hvcf_a6_ms_4_3	4885	4250	hvcf_a6_ms_4
hvcf_a6_ms_4_4	9549	4882	hvcf_a6_ms_4
hvcf_a6_ms_4_5	10539	9697	hvcf_a6_ms_4
hvcf_a6_ms_4_6	11443	10532	hvcf_a6_ms_4
hvcf_a6_ms_4_7	12164	11457	hvcf_a6_ms_4
hvcf_a6_ms_4_8	12820	12311	hvcf_a6_ms_4
hvcf_a6_ms_4_9	13198	12827	hvcf_a6_ms_4
hvcf_a6_ms_4_10	13708	13205	hvcf_a6_ms_4
hvcf_a6_ms_4_11	14563	13784	hvcf_a6_ms_4
hvcf_a6_ms_4_12	14962	14630	hvcf_a6_ms_4
hvcf_a6_ms_4_13	15272	14925	hvcf_a6_ms_4
hvcf_a6_ms_4_14	15425	15327	hvcf_a6_ms_4
hvcf_a6_ms_4_15	15713	15438	hvcf_a6_ms_4
hvcf_a6_ms_4_16	16049	15729	hvcf_a6_ms_4
hvcf_a6_ms_4_17	17267	16161	hvcf_a6_ms_4
hvcf_a6_ms_4_18	18937	17378	hvcf_a6_ms_4
hvcf_a6_ms_4_19	20050	18956	hvcf_a6_ms_4
hvcf_a6_ms_4_20	20669	20082	hvcf_a6_ms_4
hvcf_a6_ms_4_21	21120	20671	hvcf_a6_ms_4
hvcf_a6_ms_4_22	21332	21117	hvcf_a6_ms_4
hvcf_a6_ms_4_23	21882	21322	hvcf_a6_ms_4
hvcf_a6_ms_4_24	22821	21946	hvcf_a6_ms_4
hvcf_a6_ms_4_25	23562	22858	hvcf_a6_ms_4
hvcf_a6_ms_4_26	24748	23564	hvcf_a6_ms_4
hvcf_a6_ms_4_27	26251	24773	hvcf_a6_ms_4
hvcf_a6_ms_4_28	27580	26276	hvcf_a6_ms_4
hvcf_a6_ms_4_29	30325	27896	hvcf_a6_ms_4
hvcf_a6_ms_4_30	32597	30342	hvcf_a6_ms_4
hvcf_a6_ms_4_31	32996	32604	hvcf_a6_ms_4
hvcf_a6_ms_4_32	33231	32944	hvcf_a6_ms_4
hvcf_a6_ms_4_33	33643	33218	hvcf_a6_ms_4
hvcf_a6_ms_4_34	33969	33646	hvcf_a6_ms_4
hvcf_a6_ms_4_35	34969	33977	hvcf_a6_ms_4
hvcf_a6_ms_4_36	35287	34994	hvcf_a6_ms_4
hvcf_a6_ms_4_37	35908	35294	hvcf_a6_ms_4
hvcf_a6_ms_4_38	36454	35921	hvcf_a6_ms_4
hvcf_a6_ms_4_39	37163	36594	hvcf_a6_ms_4
hvcf_a6_ms_4_40	37860	37423	hvcf_a6_ms_4
hvcf_a6_ms_4_41	37968	38183	hvcf_a6_ms_4
hvcf_a6_ms_4_42	38315	39034	hvcf_a6_ms_4
hvcf_a6_ms_4_43	39071	39262	hvcf_a6_ms_4
hvcf_a6_ms_4_44	39363	40022	hvcf_a6_ms_4
hvcf_a6_ms_4_45	40462	40061	hvcf_a6_ms_4
hvcf_a6_ms_4_46	40633	40875	hvcf_a6_ms_4
hvcf_a6_ms_4_47	41067	41564	hvcf_a6_ms_4
hvcf_a6_ms_4_48	41730	42200	hvcf_a6_ms_4
hvcf_a6_ms_4_49	42733	42900	hvcf_a6_ms_4
hvcf_a6_ms_4_50	43071	43655	hvcf_a6_ms_4
hvcf_a6_ms_4_51	43912	44490	hvcf_a6_ms_4
hvcf_a6_ms_4_52	44566	44712	hvcf_a6_ms_4
hvcf_a6_ms_4_53	44848	45330	hvcf_a6_ms_4
hvcf_a6_ms_4_54	45755	45973	hvcf_a6_ms_4
hvcf_a6_ms_4_55	46028	46420	hvcf_a6_ms_4
hvcf_a6_ms_4_56	46439	46930	hvcf_a6_ms_4
hvcf_a6_ms_4_57	46923	48383	hvcf_a6_ms_4
hvcf_a6_ms_4_58	48373	48933	hvcf_a6_ms_4
hvcf_a6_ms_4_59	48923	51382	hvcf_a6_ms_4
hvcf_a6_ms_4_60	51372	52787	hvcf_a6_ms_4
hvcf_a6_ms_4_61	52847	53806	hvcf_a6_ms_4
hvcf_a6_ms_4_62	53945	54769	hvcf_a6_ms_4
hvcf_a6_ms_4_63	54881	55795	hvcf_a6_ms_4
hvcf_a6_ms_4_64	55876	57069	hvcf_a6_ms_4
hvcf_a6_ms_4_65	57047	57484	hvcf_a6_ms_4
hvcf_a6_ms_4_66	57462	57692	hvcf_a6_ms_4
hvcf_a6_ms_4_67	57667	58278	hvcf_a6_ms_4
hvcf_a6_ms_4_68	58286	59512	hvcf_a6_ms_4
hvcf_a6_ms_4_69	59516	59869	hvcf_a6_ms_4
hvcf_a6_ms_4_70	60112	60363	hvcf_a6_ms_4
hvcf_a6_ms_4_71	60375	61115	hvcf_a6_ms_4
hvcf_a6_ms_4_72	61097	61483	hvcf_a6_ms_4
hvcf_a6_ms_4_73	61490	62374	hvcf_a6_ms_4
hvcf_a6_ms_4_74	62378	62701	hvcf_a6_ms_4
hvcf_a6_ms_4_75	62643	63437	hvcf_a6_ms_4
hvcf_a6_ms_4_76	63450	64199	hvcf_a6_ms_4
hvcf_a6_ms_4_77	64209	64973	hvcf_a6_ms_4
hvcf_a6_ms_4_78	64975	65703	hvcf_a6_ms_4
hvcf_a6_ms_4_79	65703	66743	hvcf_a6_ms_4
hvcf_a6_ms_4_80	66767	67315	hvcf_a6_ms_4
hvcf_a6_ms_4_81	67340	67645	hvcf_a6_ms_4
hvcf_a6_ms_4_82	67682	67912	hvcf_a6_ms_4
hvcf_a6_ms_4_83	67851	68318	hvcf_a6_ms_4
hvcf_a6_ms_4_84	68920	68771	hvcf_a6_ms_4
hvcf_a6_ms_4_85	83824	69347	hvcf_a6_ms_4
hvcf_a6_ms_4_86	90455	83919	hvcf_a6_ms_4
hvcf_a6_ms_4_87	91121	90459	hvcf_a6_ms_4
