Protein	Beg	End	Reference
KP06_gp01	191	346	NC_024711.1
KP06_gp02	454	1203	NC_024711.1
KP06_gp03	1184	1312	NC_024711.1
KP06_gp04	1408	1713	NC_024711.1
KP06_gp05	2374	2550	NC_024711.1
KP06_gp06	2692	3318	NC_024711.1
KP06_gp07	3486	3665	NC_024711.1
KP06_gp08	3678	4259	NC_024711.1
KP06_gp09	4638	5000	NC_024711.1
KP06_gp10	5160	5732	NC_024711.1
KP06_gp11	5725	6003	NC_024711.1
KP06_gp12	6147	6479	NC_024711.1
KP06_gp13	6486	6956	NC_024711.1
KP06_gp14	6956	8416	NC_024711.1
KP06_gp15	8406	8960	NC_024711.1
KP06_gp16	8953	11280	NC_024711.1
KP06_gp17	11277	12662	NC_024711.1
KP06_gp18	12715	13647	NC_024711.1
KP06_gp19	13727	14554	NC_024711.1
KP06_gp20	14664	15683	NC_024711.1
KP06_gp21	15706	17001	NC_024711.1
KP06_gp22	17030	17371	NC_024711.1
KP06_gp23	17368	17928	NC_024711.1
KP06_gp24	17921	19138	NC_024711.1
KP06_gp25	19119	19502	NC_024711.1
KP06_gp26	19777	20502	NC_024711.1
KP06_gp27	20499	20882	NC_024711.1
KP06_gp28	20869	21738	NC_024711.1
KP06_gp29	21722	21988	NC_024711.1
KP06_gp30	21972	22109	NC_024711.1
KP06_gp31	22109	22888	NC_024711.1
KP06_gp32	22965	23084	NC_024711.1
KP06_gp33	23086	24147	NC_024711.1
KP06_gp34_1	24167	24472	NC_024711.1
KP06_gp34_2	25489	25851	NC_024711.1
KP06_gp35	24559	25413	NC_024711.1
KP06_gp36	25832	26059	NC_024711.1
KP06_gp37	26056	26325	NC_024711.1
KP06_gp38	26455	27048	NC_024711.1
KP06_gp39	27045	27323	NC_024711.1
KP06_gp40	27327	27491	NC_024711.1
KP06_gp41	27507	27956	NC_024711.1
KP06_gp42	28322	28504	NC_024711.1
KP06_gp43	28718	29272	NC_024711.1
KP06_gp44	41569	29358	NC_024711.1
KP06_gp45	47573	41701	NC_024711.1
KP06_gp46	50148	47576	NC_024711.1
KP06_gp47	52712	50140	NC_024711.1
KP06_gp48	53627	52834	NC_024711.1
KP06_gp49	58135	53625	NC_024711.1
KP06_gp50	59067	58139	NC_024711.1
KP06_gp51	60001	59040	NC_024711.1
KP06_gp52	60709	60006	NC_024711.1
KP06_gp53	61037	60712	NC_024711.1
KP06_gp54	62630	61171	NC_024711.1
KP06_gp55	63135	62633	NC_024711.1
KP06_gp56	63558	63218	NC_024711.1
KP06_gp57	64096	63768	NC_024711.1
KP06_gp58	64742	64168	NC_024711.1
KP06_gp59	65133	64748	NC_024711.1
KP06_gp60	65653	65139	NC_024711.1
KP06_gp61	66467	65695	NC_024711.1
KP06_gp62	67677	66575	NC_024711.1
KP06_gp63	69362	67678	NC_024711.1
KP06_gp64	73332	69449	NC_024711.1
KP06_gp65	74166	73337	NC_024711.1
KP06_gp66	76282	74193	NC_024711.1
KP06_gp67	78891	76286	NC_024711.1
KP06_gp68	79482	78956	NC_024711.1
KP06_gp69	79718	79480	NC_024711.1
KP06_gp70	80261	79729	NC_024711.1
KP06_gp71	81235	80373	NC_024711.1
KP06_gp72	81953	81256	NC_024711.1
KP06_gp73	83113	81957	NC_024711.1
KP06_gp74	84611	83140	NC_024711.1
KP06_gp75	85941	84632	NC_024711.1
KP06_gp76	88695	86285	NC_024711.1
KP06_gp77	90969	88715	NC_024711.1
KP06_gp78	91302	90977	NC_024711.1
KP06_gp79	91585	91317	NC_024711.1
KP06_gp80	92042	91615	NC_024711.1
KP06_gp81	92243	92047	NC_024711.1
KP06_gp82	92597	92248	NC_024711.1
KP06_gp83	93601	92595	NC_024711.1
KP06_gp84	94273	93699	NC_024711.1
KP06_gp85	94823	94258	NC_024711.1
KP06_gp86	95480	94942	NC_024711.1
KP06_gp87	95630	95491	NC_024711.1
KP06_gp88	96138	96794	NC_024711.1
