gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
err844030_ms_1_1				unknown	VOG3129	0.00039	16.4	unknown	hypothetical protein	P-unknown
err844030_ms_1_2	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG0377	2.8999999999999994e-65	217.3	DNA helicase	DNA helicase	G-putative SF1 helicase
err844030_ms_1_3				unknown						G-unknown
err844030_ms_1_4				unknown	VOG9060	0.00023999999999999998	17.1	unknown	hypothetical protein	P-unknown
err844030_ms_1_5	gene51	Tail stabilization protein (P22 gp10-like)	assembly	putative Phage stabilization protein (pfam11134), P22_gp10 homolog						G-putative Phage stabilization protein (pfam11134), P22_gp10 homolog
err844030_ms_1_6	gene52	Tail tubular protein (P22 gp4-like)	assembly	putative Tail tubular protein, P22_gp4						G-putative Tail tubular protein, P22_gp4
err844030_ms_1_7				unknown	VOG5550	0.006	12.7	unknown	hypothetical protein	P-unknown
err844030_ms_1_8	gene54	IHF subunit	assembly	putative Integration host factor IHF subunit, histone-like protein						G-putative Integration host factor IHF subunit, histone-like protein
err844030_ms_1_9				unknown	VOG5787	1.9999999999999999e-22	75.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_10				unknown	VOG5763	0.03	10.9	unknown	hypothetical protein	P-unknown
err844030_ms_1_11				unknown						G-unknown
err844030_ms_1_12				unknown						G-unknown
err844030_ms_1_13				unknown	VOG6476	0.00011	17.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_14				unknown	VOG11045	0.0037	13.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_15				unknown						G-unknown
err844030_ms_1_16				unknown	VOG0641	2.6e-08	29.9	holin	holin	P-holin
err844030_ms_1_17				unknown						G-unknown
err844030_ms_1_18				unknown	VOG6540	1.6e-07	28.0	adsorption	putative adsorption protein	P-adsorption
err844030_ms_1_19				unknown						G-unknown
err844030_ms_1_20				unknown	VOG0979	4.499999999999999e-88	291.8	retron-type RNA-directed DNA polymerase	retron-type RNA-directed DNA polymerase	P-retron-type RNA-directed DNA polymerase
err844030_ms_1_21				unknown	VOG9955	1.4e-22	76.4	unknown	hypothetical protein	P-unknown
err844030_ms_1_22				unknown	VOG0980	3.6000000000000003e-06	23.7	unknown	hypothetical protein	P-unknown
err844030_ms_1_23				unknown						G-unknown
err844030_ms_1_24				unknown	VOG9875	0.002	14.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_25				unknown	VOG5483	0.0088	11.9	unknown	hypothetical protein	P-unknown
err844030_ms_1_26				unknown	VOG2791	2.7000000000000002e-05	18.8	tail sheath	tail sheath protein	P-tail sheath
err844030_ms_1_27	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
err844030_ms_1_28				unknown						G-unknown
err844030_ms_1_29	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
err844030_ms_1_30	gene75	putative structural protein	assembly.capsid	unknown	VOG1080	0.0038	12.9	internal virion  B	hypothetical protein	Y-putative structural protein
err844030_ms_1_31	MCP	MCP	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
err844030_ms_1_32	gene77	putative structural protein	assembly.capsid	unknown	VOG2379	0.17	4.5	virion RNA polymerase	virion RNA polymerase	Y-putative structural protein
err844030_ms_1_33				unknown						G-unknown
err844030_ms_1_34				unknown						G-unknown
err844030_ms_1_35	portal	Portal	assembly.capsid	putative Portal protein						G-putative Portal protein
err844030_ms_1_36	terminase	Terminase	assembly.capsid	putative Terminase large subunit	VOG4544	2.6e-06	23.7	terminase large subunit	terminase large subunit	G-putative Terminase large subunit
err844030_ms_1_37				unknown	VOG2166	0.0017	14.3	unknown	hypothetical protein	P-unknown
err844030_ms_1_38				unknown						G-unknown
err844030_ms_1_39				unknown						G-unknown
err844030_ms_1_40				unknown	VOG0281	0.0013	15.2	Abc2	Abc2 protein	P-Abc2
err844030_ms_1_41	dUTP			unknown	VOG0085	3.8999999999999996e-32	107.4	deoxyuridine 5'-triphosphate nucleotidohydrolase	deoxyuridine 5'-triphosphate nucleotidohydrolase	P-deoxyuridine 5'-triphosphate nucleotidohydrolase
err844030_ms_1_42				unknown	VOG1254	7.2e-25	83.5	unknown	hypothetical protein	P-unknown
err844030_ms_1_43				unknown	VOG3488	2.3e-10	36.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_44				unknown						G-unknown
err844030_ms_1_45				unknown						G-unknown
err844030_ms_1_46				unknown	VOG0760	0.00022	18.0	unknown	unknown	P-unknown
err844030_ms_1_47				unknown	VOG3586	0.00057	15.6	chromosome partitioning	putative chromosome partitioning protein	P-chromosome partitioning
err844030_ms_1_48				unknown						G-unknown
err844030_ms_1_49				unknown						G-unknown
err844030_ms_1_50				unknown						G-unknown
err844030_ms_1_51				unknown						G-unknown
err844030_ms_1_52				unknown						G-unknown
err844030_ms_1_53				unknown	VOG8956	2.4e-05	20.5	unknown	hypothetical protein	P-unknown
err844030_ms_1_54				unknown						G-unknown
err844030_ms_1_55				unknown						G-unknown
err844030_ms_1_56				unknown						G-unknown
err844030_ms_1_57				unknown	VOG11083	0.0083	12.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_58				unknown	VOG8823	0.0037	13.5	unknown	hypothetical protein	P-unknown
err844030_ms_1_59				unknown	VOG10561	0.026000000000000002	10.8	unknown	hypothetical protein	P-unknown
err844030_ms_1_60				unknown						G-unknown
err844030_ms_1_61				unknown						G-unknown
err844030_ms_1_62				unknown						G-unknown
err844030_ms_1_63				unknown	VOG5142	2.9999999999999997e-05	20.6	unknown	hypothetical protein	P-unknown
err844030_ms_1_64				unknown	VOG9078	0.0066	12.9	unknown	hypothetical protein	P-unknown
