gene	gene_fam	annot_yutin_hmm	region	annot_genbank	pvog_x	e_value	score	annot_pvog	annot_pvog_raw	annotation
cs_ms_21_1				unknown	VOG0422	0.0014	14.9	unknown	hypothetical protein	P-unknown
cs_ms_21_2				unknown	VOG2767	0.025	10.8	unknown	hypothetical protein	P-unknown
cs_ms_21_3	gene73	putative structural protein	assembly	putative Tail sheath protein						G-putative Tail sheath protein
cs_ms_21_4	gene74	putative structural protein	assembly	unknown						Y-putative structural protein
cs_ms_21_5	gene75	putative structural protein	assembly.capsid	unknown						Y-putative structural protein
cs_ms_21_6	MCP	Major Capsid Protein	assembly.capsid	putative Major capsid protein						G-putative Major capsid protein
cs_ms_21_7	gene77	putative structural protein	assembly.capsid	unknown	VOG6423	0.0061	13.0	unknown	hypothetical protein	Y-putative structural protein
cs_ms_21_8	portal	Portal	assembly.capsid	putative Portal protein						G-putative Portal protein
cs_ms_21_9	terminase	Terminase	assembly.capsid	putative Terminase large subunit	VOG5203	4.899999999999999e-31	103.8	HNH endonuclease domain	HNH endonuclease domain protein	G-putative Terminase large subunit
cs_ms_21_10	gene86	Uncharacterized protein		unknown	VOG4414	0.0025	14.0	unknown	hypothetical protein	P-unknown
cs_ms_21_11				unknown						G-unknown
cs_ms_21_12				unknown	VOG6988	0.0014	13.8	glucose-1-phosphate thymidylyltransferase	putative glucose-1-phosphate thymidylyltransferase	P-glucose-1-phosphate thymidylyltransferase
cs_ms_21_13				unknown	VOG5616	2.0999999999999998e-09	33.5	unknown	hypothetical protein	P-unknown
cs_ms_21_14				unknown	VOG6556	0.004	13.4	unknown	hypothetical protein	P-unknown
cs_ms_21_15				unknown	VOG7363	0.00065	15.7	unknown	hypothetical protein	P-unknown
cs_ms_21_16				unknown	VOG10334	2.1e-12	43.3	unknown	hypothetical protein	P-unknown
cs_ms_21_17	gene85	PD-(D E)XK family nuclease		putative PD-(D/E)XK superfamily nuclease	VOG2848	1.6e-26	89.3	AddA-like	AddA-like protein	G-putative PD-(D/E)XK superfamily nuclease
cs_ms_21_18				unknown						G-unknown
cs_ms_21_19				unknown						G-unknown
cs_ms_21_20				unknown						G-unknown
cs_ms_21_21				unknown						G-unknown
cs_ms_21_22				unknown						G-unknown
cs_ms_21_23				unknown	VOG0661	0.01	11.6	unknown	hypothetical protein	P-unknown
cs_ms_21_24				unknown	VOG1269	0.0026	13.9	unknown	hypothetical protein	P-unknown
cs_ms_21_25				unknown						G-unknown
cs_ms_21_26				unknown						G-unknown
cs_ms_21_27				unknown	VOG9200	0.0037	13.8	unknown	hypothetical protein	P-unknown
cs_ms_21_28				unknown						G-unknown
cs_ms_21_29				unknown	VOG10348	0.012	11.6	unknown	hypothetical protein	P-unknown
cs_ms_21_30				unknown						G-unknown
cs_ms_21_31				unknown						G-unknown
cs_ms_21_32				unknown						G-unknown
cs_ms_21_33				unknown						G-unknown
cs_ms_21_34				unknown						G-unknown
cs_ms_21_35				unknown						G-unknown
cs_ms_21_36				unknown	VOG4884	0.0036	12.3	distal tail	distal tail protein	P-distal tail
cs_ms_21_37				unknown						G-unknown
cs_ms_21_38				unknown						G-unknown
cs_ms_21_39				unknown	VOG5284	5.5e-15	51.6	unknown	hypothetical protein	P-unknown
cs_ms_21_40				unknown	VOG5697	0.00042	16.3	unknown	hypothetical protein	P-unknown
cs_ms_21_41				unknown						G-unknown
cs_ms_21_42	SF1_helicase15	SF1 helicase		putative SF1 helicase	VOG5203	3.8999999999999993e-66	219.7	HNH endonuclease domain	HNH endonuclease domain protein	G-putative SF1 helicase
cs_ms_21_43				unknown						G-unknown
cs_ms_21_44				unknown						G-unknown
cs_ms_21_45				unknown						G-unknown
cs_ms_21_46				unknown						G-unknown
cs_ms_21_47	UDG	Uracil-DNA glycosylase	replication	putative Uracyl-DNA glycosylase	VOG1742	0.00095	14.9	unknown	hypothetical protein	G-putative Uracyl-DNA glycosylase
cs_ms_21_48	PolB	Polymerase B	replication	putative DNA polymerase family B	VOG4670	7.8e-07	23.4	DNA polymerase/primase	DNA polymerase/primase	G-putative DNA polymerase family B
