Protein	Beg	End	Reference
cs_ms_21_2	5018	1989	cs_ms_21
cs_ms_21_3	6065	5085	cs_ms_21
cs_ms_21_4	7115	6075	cs_ms_21
cs_ms_21_5	8147	7131	cs_ms_21
cs_ms_21_6	9682	8198	cs_ms_21
cs_ms_21_7	11031	9694	cs_ms_21
cs_ms_21_8	13648	11261	cs_ms_21
cs_ms_21_9	17062	13649	cs_ms_21
cs_ms_21_10	17698	17066	cs_ms_21
cs_ms_21_11	18001	17870	cs_ms_21
cs_ms_21_12	18984	18037	cs_ms_21
cs_ms_21_13	19667	18999	cs_ms_21
cs_ms_21_14	20038	19664	cs_ms_21
cs_ms_21_15	20309	19992	cs_ms_21
cs_ms_21_16	20968	20312	cs_ms_21
cs_ms_21_17	21975	20971	cs_ms_21
cs_ms_21_18	22435	21920	cs_ms_21
cs_ms_21_19	22924	22448	cs_ms_21
cs_ms_21_20	24195	23989	cs_ms_21
cs_ms_21_21	24464	24595	cs_ms_21
cs_ms_21_22	24920	25474	cs_ms_21
cs_ms_21_23	25471	25659	cs_ms_21
cs_ms_21_24	25850	26392	cs_ms_21
cs_ms_21_25	26470	27288	cs_ms_21
cs_ms_21_26	28236	28628	cs_ms_21
cs_ms_21_27	28594	28884	cs_ms_21
cs_ms_21_28	28902	29144	cs_ms_21
cs_ms_21_29	29248	29514	cs_ms_21
cs_ms_21_30	29680	29916	cs_ms_21
cs_ms_21_31	29920	30156	cs_ms_21
cs_ms_21_32	30132	30428	cs_ms_21
cs_ms_21_33	30666	30430	cs_ms_21
cs_ms_21_34	30784	31113	cs_ms_21
cs_ms_21_35	31114	31695	cs_ms_21
cs_ms_21_36	31683	32081	cs_ms_21
cs_ms_21_37	32174	32518	cs_ms_21
cs_ms_21_38	32523	33665	cs_ms_21
cs_ms_21_39	33755	34336	cs_ms_21
cs_ms_21_40	34305	34643	cs_ms_21
cs_ms_21_41	34646	34855	cs_ms_21
cs_ms_21_42	34848	37370	cs_ms_21
cs_ms_21_43	37367	37687	cs_ms_21
cs_ms_21_44	37691	38035	cs_ms_21
cs_ms_21_45	38004	38237	cs_ms_21
cs_ms_21_46	38309	38542	cs_ms_21
cs_ms_21_47	38543	39136	cs_ms_21
cs_ms_21_48	39133	40365	cs_ms_21
cs_ms_21_49	40663	41307	cs_ms_21
cs_ms_21_50	41352	42455	cs_ms_21
cs_ms_21_51	42459	42782	cs_ms_21
cs_ms_21_52	42788	44299	cs_ms_21
cs_ms_21_53	44362	45357	cs_ms_21
cs_ms_21_54	45430	46152	cs_ms_21
cs_ms_21_55	46247	47104	cs_ms_21
cs_ms_21_56	47252	48316	cs_ms_21
cs_ms_21_57	48288	48803	cs_ms_21
cs_ms_21_58	48781	50094	cs_ms_21
cs_ms_21_59	50098	51099	cs_ms_21
cs_ms_21_60	51102	51362	cs_ms_21
cs_ms_21_61	51366	51869	cs_ms_21
cs_ms_21_62	51992	52297	cs_ms_21
cs_ms_21_63	52313	52645	cs_ms_21
cs_ms_21_64	52649	53113	cs_ms_21
cs_ms_21_65	53116	54171	cs_ms_21
cs_ms_21_66	54140	54436	cs_ms_21
cs_ms_21_67	54423	55121	cs_ms_21
cs_ms_21_68	55146	56150	cs_ms_21
cs_ms_21_69	56150	56497	cs_ms_21
cs_ms_21_70	70055	56841	cs_ms_21
cs_ms_21_71	77930	70074	cs_ms_21
cs_ms_21_72	80772	77932	cs_ms_21
cs_ms_21_73	84031	80837	cs_ms_21
cs_ms_21_74	88555	84107	cs_ms_21
cs_ms_21_75	89313	88558	cs_ms_21
cs_ms_21_76	90181	89285	cs_ms_21
cs_ms_21_77	90579	90187	cs_ms_21
cs_ms_21_78	90818	90585	cs_ms_21
cs_ms_21_79	91480	90824	cs_ms_21
cs_ms_21_80	91756	91490	cs_ms_21
cs_ms_21_81	92425	91763	cs_ms_21
cs_ms_21_82	92969	92541	cs_ms_21
cs_ms_21_83	93369	92953	cs_ms_21
cs_ms_21_84	94002	93382	cs_ms_21
cs_ms_21_85	94347	94105	cs_ms_21
cs_ms_21_86	94780	94469	cs_ms_21
cs_ms_21_87	95253	94897	cs_ms_21
cs_ms_21_88	95356	95222	cs_ms_21
cs_ms_21_89	96136	95453	cs_ms_21
