Protein	Beg	End	Reference
fferm_ms_11_2	4081	488	fferm_ms_11
fferm_ms_11_3	7187	4095	fferm_ms_11
fferm_ms_11_4	7692	7198	fferm_ms_11
fferm_ms_11_5	8929	7712	fferm_ms_11
fferm_ms_11_6	9476	8922	fferm_ms_11
fferm_ms_11_7	10560	9544	fferm_ms_11
fferm_ms_11_8	11278	10592	fferm_ms_11
fferm_ms_11_9	12255	11281	fferm_ms_11
fferm_ms_11_10	13833	12322	fferm_ms_11
fferm_ms_11_11	15025	13871	fferm_ms_11
fferm_ms_11_12	15787	15182	fferm_ms_11
fferm_ms_11_13	16188	15811	fferm_ms_11
fferm_ms_11_14	16694	16191	fferm_ms_11
fferm_ms_11_15	17512	16748	fferm_ms_11
fferm_ms_11_16	18048	17686	fferm_ms_11
fferm_ms_11_17	18362	18063	fferm_ms_11
fferm_ms_11_18	18729	18355	fferm_ms_11
fferm_ms_11_19	19257	18796	fferm_ms_11
fferm_ms_11_20	19582	19229	fferm_ms_11
fferm_ms_11_21	19841	19587	fferm_ms_11
fferm_ms_11_22	20439	19843	fferm_ms_11
fferm_ms_11_23	21492	20446	fferm_ms_11
fferm_ms_11_24	24341	21492	fferm_ms_11
fferm_ms_11_25	24670	24347	fferm_ms_11
fferm_ms_11_26	27108	24673	fferm_ms_11
fferm_ms_11_27	29444	27177	fferm_ms_11
fferm_ms_11_28	29748	29431	fferm_ms_11
fferm_ms_11_29	30307	29750	fferm_ms_11
fferm_ms_11_30	30747	30358	fferm_ms_11
fferm_ms_11_31	31036	30752	fferm_ms_11
fferm_ms_11_32	31416	31033	fferm_ms_11
fferm_ms_11_33	31738	31427	fferm_ms_11
fferm_ms_11_34	31964	31755	fferm_ms_11
fferm_ms_11_35	32190	31933	fferm_ms_11
fferm_ms_11_36	32331	32200	fferm_ms_11
fferm_ms_11_37	32918	32445	fferm_ms_11
fferm_ms_11_38	33843	33376	fferm_ms_11
fferm_ms_11_39	34470	33988	fferm_ms_11
fferm_ms_11_40	35522	35313	fferm_ms_11
fferm_ms_11_41	36221	35901	fferm_ms_11
fferm_ms_11_42	36957	36760	fferm_ms_11
fferm_ms_11_43	38017	37613	fferm_ms_11
fferm_ms_11_44	38521	38835	fferm_ms_11
fferm_ms_11_45	39389	39589	fferm_ms_11
fferm_ms_11_46	39586	39801	fferm_ms_11
fferm_ms_11_47	39798	39887	fferm_ms_11
fferm_ms_11_48	39979	40407	fferm_ms_11
fferm_ms_11_49	40497	40955	fferm_ms_11
fferm_ms_11_50	41387	41878	fferm_ms_11
fferm_ms_11_51	41878	42057	fferm_ms_11
fferm_ms_11_52	42042	42392	fferm_ms_11
fferm_ms_11_53	42395	42757	fferm_ms_11
fferm_ms_11_54	42840	43601	fferm_ms_11
fferm_ms_11_55	43576	43992	fferm_ms_11
fferm_ms_11_56	44294	45703	fferm_ms_11
fferm_ms_11_57	46493	46873	fferm_ms_11
fferm_ms_11_58	46924	47235	fferm_ms_11
fferm_ms_11_59	47446	48189	fferm_ms_11
fferm_ms_11_60	48191	48382	fferm_ms_11
fferm_ms_11_61	48372	48581	fferm_ms_11
fferm_ms_11_62	48578	49063	fferm_ms_11
fferm_ms_11_63	49044	49595	fferm_ms_11
fferm_ms_11_64	49582	50832	fferm_ms_11
fferm_ms_11_65	50834	50944	fferm_ms_11
fferm_ms_11_66	50941	51537	fferm_ms_11
fferm_ms_11_67	51512	52759	fferm_ms_11
fferm_ms_11_68	52767	53468	fferm_ms_11
fferm_ms_11_69	53465	53746	fferm_ms_11
fferm_ms_11_70	53754	54125	fferm_ms_11
fferm_ms_11_71	54149	55078	fferm_ms_11
fferm_ms_11_72	55102	55614	fferm_ms_11
fferm_ms_11_73	55611	56603	fferm_ms_11
fferm_ms_11_74	56629	57330	fferm_ms_11
fferm_ms_11_75	57398	58690	fferm_ms_11
fferm_ms_11_76	58629	59924	fferm_ms_11
fferm_ms_11_77	59936	61258	fferm_ms_11
fferm_ms_11_78	61258	62061	fferm_ms_11
fferm_ms_11_79	62058	62729	fferm_ms_11
fferm_ms_11_80	62748	63305	fferm_ms_11
fferm_ms_11_81	63286	63768	fferm_ms_11
fferm_ms_11_82	63716	63991	fferm_ms_11
fferm_ms_11_83	63978	65012	fferm_ms_11
fferm_ms_11_84	65006	67171	fferm_ms_11
fferm_ms_11_85	67177	67428	fferm_ms_11
fferm_ms_11_86	67425	68444	fferm_ms_11
fferm_ms_11_87	68401	68892	fferm_ms_11
fferm_ms_11_88	68912	69421	fferm_ms_11
fferm_ms_11_89	69418	69684	fferm_ms_11
fferm_ms_11_90	69685	72075	fferm_ms_11
fferm_ms_11_91	72077	72397	fferm_ms_11
fferm_ms_11_92	72345	72680	fferm_ms_11
fferm_ms_11_93	72673	73104	fferm_ms_11
fferm_ms_11_94	73106	73411	fferm_ms_11
fferm_ms_11_95	73408	73845	fferm_ms_11
fferm_ms_11_96	73847	74722	fferm_ms_11
fferm_ms_11_97	74803	75042	fferm_ms_11
fferm_ms_11_98	75042	75434	fferm_ms_11
fferm_ms_11_99	75439	76053	fferm_ms_11
fferm_ms_11_100	76053	76661	fferm_ms_11
fferm_ms_11_101	76814	83908	fferm_ms_11
fferm_ms_11_102	83868	87908	fferm_ms_11
fferm_ms_11_103	93913	87956	fferm_ms_11
fferm_ms_11_104	95522	93915	fferm_ms_11
fferm_ms_11_105	97605	95512	fferm_ms_11
fferm_ms_11_106	102954	97711	fferm_ms_11
fferm_ms_11_107	103648	102956	fferm_ms_11
fferm_ms_11_108	104199	103645	fferm_ms_11
